0,1,2,3
"HP:0000622,HP:0000873",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000632,HP:0000877",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000649,HP:0000927",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000657,HP:0000929",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000662,HP:0000943",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000743,HP:0000965",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000763,HP:0000969",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000769,HP:0000971",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000771,HP:0000975",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000775,HP:0000978",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000777,HP:0000979",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000778,HP:0000980",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000795,HP:0000989",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000809,HP:0001000",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000816,HP:0001025",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000821,HP:0001029",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000823,HP:0001067",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000826,HP:0001072",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000828,HP:0001090",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000835,HP:0001195",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000836,HP:0001196",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
