Codici Input,Codici Originali,Codici Originali+Padri,Report
"HP0000549,HP0000834",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000551,HP0000835",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000553,HP0000836",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000554,HP0000839",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000568,HP0000840",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000570,HP0000841",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000588,HP0000842",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000589,HP0000846",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000591,HP0000847",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000592,HP0000848",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000593,HP0000849",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000597,HP0000852",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000601,HP0000853",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000606,HP0000855",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000610,HP0000857",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000613,HP0000863",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000617,HP0000872",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000622,HP0000873",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000632,HP0000877",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000633,HP0000924",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000649,HP0000927",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000657,HP0000929",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000662,HP0000943",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000708,HP0000951",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000743,HP0000965",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000759,HP0000966",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000763,HP0000969",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000769,HP0000971",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000771,HP0000975",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000775,HP0000978",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000777,HP0000979",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000778,HP0000980",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000795,HP0000989",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000809,HP0001000",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000811,HP0001001",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000812,HP0001009",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000816,HP0001025",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000820,HP0001028",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000821,HP0001029",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000823,HP0001067",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000826,HP0001072",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000828,HP0001090",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000829,HP0001098",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000831,HP0001155",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000834,HP0001194",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000835,HP0001195",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000836,HP0001196",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000839,HP0001197",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000840,HP0001218",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000841,HP0001231",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000842,HP0001249",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000069,HP0000843",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000075,HP0000846",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000079,HP0000847",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000080,HP0000848",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000119,HP0000849",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000127,HP0000852",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000153,HP0000853",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000223,HP0000855",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000224,HP0000857",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000234,HP0000859",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000235,HP0000863",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000240,HP0000872",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000315,HP0000873",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000370,HP0000877",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000377,HP0000924",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000475,HP0000927",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000481,HP0000929",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000490,HP0000943",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000496,HP0000951",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000501,HP0000958",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000508,HP0000965",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000512,HP0000966",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000597,HP0000969",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000601,HP0000970",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000610,HP0000971",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000613,HP0000975",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000617,HP0000978",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000622,HP0000979",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000632,HP0000980",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000633,HP0000989",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000649,HP0001000",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000657,HP0001001",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000662,HP0001009",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000708,HP0001025",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000743,HP0001028",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000821,HP0001029",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000831,HP0001067",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000843,HP0001072",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000859,HP0001087",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000970,HP0001090",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0001087,HP0001098",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000291,HP0001155",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000356,HP0001167",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000505,HP0001194",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000517,HP0001195",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000606,HP0001196",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000826,HP0001197",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000958,HP0001218",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0001167,HP0001231",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000478,HP0001249",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000079,HP0000481",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000119,HP0000490",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000127,HP0000496",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000135,HP0000501",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000144,HP0000504",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000152,HP0000505",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000240,HP0000508",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000271,HP0000512",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000290,HP0000517",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000306,HP0000534",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000309,HP0000553",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000316,HP0000554",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000364,HP0000568",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000365,HP0000570",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000366,HP0000588",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000370,HP0000592",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000372,HP0000593",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000377,HP0000597",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000464,HP0000598",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000465,HP0000601",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000478,HP0000763",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000481,HP0000764",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000490,HP0000771",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000496,HP0000775",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000501,HP0000777",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000504,HP0000795",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000505,HP0000811",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000508,HP0000812",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000512,HP0000820",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000517,HP0000821",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000525,HP0000823",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000528,HP0000828",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000534,HP0000831",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000553,HP0000834",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000554,HP0000835",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000568,HP0000841",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000570,HP0000842",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000588,HP0000843",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000589,HP0000847",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000591,HP0000849",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000592,HP0000852",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000593,HP0000853",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000597,HP0000855",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000598,HP0000857",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000601,HP0000859",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000606,HP0000863",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000610,HP0000864",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000613,HP0000872",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000617,HP0000873",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000622,HP0000877",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000632,HP0000924",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000649,HP0000929",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000657,HP0000943",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000662,HP0000958",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000667,HP0000965",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000708,HP0000966",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000743,HP0000969",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000759,HP0000970",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000763,HP0000971",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000764,HP0000975",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000769,HP0000979",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000771,HP0001000",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000775,HP0001001",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000777,HP0001009",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000795,HP0001014",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000811,HP0001025",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000812,HP0001028",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000820,HP0001029",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000821,HP0001067",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000823,HP0001072",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000826,HP0001087",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000828,HP0001155",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000829,HP0001167",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000831,HP0001194",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000834,HP0001196",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000835,HP0001197",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000841,HP0001218",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000842,HP0001231",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000843,HP0001249",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000079,HP0000846",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000119,HP0000847",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000144,HP0000848",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000152,HP0000849",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000240,HP0000852",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000271,HP0000853",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000290,HP0000855",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000309,HP0000857",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000316,HP0000859",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000364,HP0000863",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000372,HP0000864",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000377,HP0000872",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000465,HP0000873",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000478,HP0000877",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000525,HP0000924",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000528,HP0000927",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000589,HP0000929",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000591,HP0000943",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000606,HP0000958",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000610,HP0000965",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000617,HP0000966",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000622,HP0000969",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000632,HP0000970",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000649,HP0000971",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000657,HP0000975",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000662,HP0000978",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000667,HP0000979",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000708,HP0001000",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000743,HP0001001",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000759,HP0001009",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000826,HP0001014",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000829,HP0001025",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000846,HP0001028",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000848,HP0001029",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000927,HP0001067",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000002,HP0000978,HP0001072",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
