Codici Input,Report,Codici Originali,Codici Originali+Padri
"HP:0000549,HP:0000834",not found,,
"HP:0000551,HP:0000835",not found,,
"HP:0000553,HP:0000836",not found,,
"HP:0000554,HP:0000839",not found,,
"HP:0000568,HP:0000840",not found,,
"HP:0000570,HP:0000841",not found,,
"HP:0000588,HP:0000842",not found,,
"HP:0000589,HP:0000846",not found,,
"HP:0000591,HP:0000847",not found,,
"HP:0000592,HP:0000848",not found,,
"HP:0000593,HP:0000849",not found,,
"HP:0000597,HP:0000852",not found,,
"HP:0000601,HP:0000853",not found,,
"HP:0000606,HP:0000855",not found,,
"HP:0000610,HP:0000857",not found,,
"HP:0000613,HP:0000863",not found,,
"HP:0000617,HP:0000872",not found,,
"HP:0000622,HP:0000873",not found,,
"HP:0000632,HP:0000877",not found,,
"HP:0000633,HP:0000924",not found,,
"HP:0000649,HP:0000927",not found,,
"HP:0000657,HP:0000929",not found,,
"HP:0000662,HP:0000943",not found,,
"HP:0000708,HP:0000951",not found,,
"HP:0000743,HP:0000965",not found,,
"HP:0000759,HP:0000966",not found,,
"HP:0000763,HP:0000969",not found,,
"HP:0000769,HP:0000971",not found,,
"HP:0000771,HP:0000975",not found,,
"HP:0000775,HP:0000978",not found,,
"HP:0000777,HP:0000979",not found,,
"HP:0000778,HP:0000980",not found,,
"HP:0000795,HP:0000989",not found,,
"HP:0000809,HP:0001000",not found,,
"HP:0000811,HP:0001001",not found,,
"HP:0000812,HP:0001009",not found,,
"HP:0000816,HP:0001025",not found,,
"HP:0000820,HP:0001028",not found,,
"HP:0000821,HP:0001029",not found,,
"HP:0000823,HP:0001067",not found,,
"HP:0000826,HP:0001072",not found,,
"HP:0000828,HP:0001090",not found,,
"HP:0000829,HP:0001098",not found,,
"HP:0000831,HP:0001155",not found,,
"HP:0000834,HP:0001194",not found,,
"HP:0000835,HP:0001195",not found,,
"HP:0000836,HP:0001196",not found,,
"HP:0000839,HP:0001197",not found,,
"HP:0000840,HP:0001218",not found,,
"HP:0000841,HP:0001231",not found,,
"HP:0000842,HP:0001249",not found,,
"HP:0000069,HP:0000843",not found,,
"HP:0000075,HP:0000846",not found,,
"HP:0000079,HP:0000847",not found,,
"HP:0000080,HP:0000848",not found,,
"HP:0000119,HP:0000849",not found,,
"HP:0000127,HP:0000852",not found,,
"HP:0000153,HP:0000853",not found,,
"HP:0000223,HP:0000855",not found,,
"HP:0000224,HP:0000857",not found,,
"HP:0000234,HP:0000859",not found,,
"HP:0000235,HP:0000863",not found,,
"HP:0000240,HP:0000872",not found,,
"HP:0000315,HP:0000873",not found,,
"HP:0000370,HP:0000877",not found,,
"HP:0000377,HP:0000924",not found,,
"HP:0000475,HP:0000927",not found,,
"HP:0000481,HP:0000929",not found,,
"HP:0000490,HP:0000943",not found,,
"HP:0000496,HP:0000951",not found,,
"HP:0000501,HP:0000958",not found,,
"HP:0000508,HP:0000965",not found,,
"HP:0000512,HP:0000966",not found,,
"HP:0000597,HP:0000969",not found,,
"HP:0000601,HP:0000970",not found,,
"HP:0000610,HP:0000971",not found,,
"HP:0000613,HP:0000975",not found,,
"HP:0000617,HP:0000978",not found,,
"HP:0000622,HP:0000979",not found,,
"HP:0000632,HP:0000980",not found,,
"HP:0000633,HP:0000989",not found,,
"HP:0000649,HP:0001000",not found,,
"HP:0000657,HP:0001001",not found,,
"HP:0000662,HP:0001009",not found,,
"HP:0000708,HP:0001025",not found,,
"HP:0000743,HP:0001028",not found,,
"HP:0000821,HP:0001029",not found,,
"HP:0000831,HP:0001067",not found,,
"HP:0000843,HP:0001072",not found,,
"HP:0000859,HP:0001087",not found,,
"HP:0000970,HP:0001090",not found,,
"HP:0001087,HP:0001098",not found,,
"HP:0000291,HP:0001155",not found,,
"HP:0000356,HP:0001167",not found,,
"HP:0000505,HP:0001194",not found,,
"HP:0000517,HP:0001195",not found,,
"HP:0000606,HP:0001196",not found,,
"HP:0000826,HP:0001197",not found,,
"HP:0000958,HP:0001218",not found,,
"HP:0001167,HP:0001231",not found,,
"HP:0000478,HP:0001249",not found,,
"HP:0000002,HP:0000079,HP:0000481",not found,,
"HP:0000002,HP:0000119,HP:0000490",not found,,
"HP:0000002,HP:0000127,HP:0000496",not found,,
"HP:0000002,HP:0000135,HP:0000501",not found,,
"HP:0000002,HP:0000144,HP:0000504",not found,,
"HP:0000002,HP:0000152,HP:0000505",not found,,
"HP:0000002,HP:0000240,HP:0000508",not found,,
"HP:0000002,HP:0000271,HP:0000512",not found,,
"HP:0000002,HP:0000290,HP:0000517",not found,,
"HP:0000002,HP:0000306,HP:0000534",not found,,
"HP:0000002,HP:0000309,HP:0000553",not found,,
"HP:0000002,HP:0000316,HP:0000554",not found,,
"HP:0000002,HP:0000364,HP:0000568",not found,,
"HP:0000002,HP:0000365,HP:0000570",not found,,
"HP:0000002,HP:0000366,HP:0000588",not found,,
"HP:0000002,HP:0000370,HP:0000592",not found,,
"HP:0000002,HP:0000372,HP:0000593",not found,,
"HP:0000002,HP:0000377,HP:0000597",not found,,
"HP:0000002,HP:0000464,HP:0000598",not found,,
"HP:0000002,HP:0000465,HP:0000601",not found,,
"HP:0000002,HP:0000478,HP:0000763",not found,,
"HP:0000002,HP:0000481,HP:0000764",not found,,
"HP:0000002,HP:0000490,HP:0000771",not found,,
"HP:0000002,HP:0000496,HP:0000775",not found,,
"HP:0000002,HP:0000501,HP:0000777",not found,,
"HP:0000002,HP:0000504,HP:0000795",not found,,
"HP:0000002,HP:0000505,HP:0000811",not found,,
"HP:0000002,HP:0000508,HP:0000812",not found,,
"HP:0000002,HP:0000512,HP:0000820",not found,,
"HP:0000002,HP:0000517,HP:0000821",not found,,
"HP:0000002,HP:0000525,HP:0000823",not found,,
"HP:0000002,HP:0000528,HP:0000828",not found,,
"HP:0000002,HP:0000534,HP:0000831",not found,,
"HP:0000002,HP:0000553,HP:0000834",not found,,
"HP:0000002,HP:0000554,HP:0000835",not found,,
"HP:0000002,HP:0000568,HP:0000841",not found,,
"HP:0000002,HP:0000570,HP:0000842",not found,,
"HP:0000002,HP:0000588,HP:0000843",not found,,
"HP:0000002,HP:0000589,HP:0000847",not found,,
"HP:0000002,HP:0000591,HP:0000849",not found,,
"HP:0000002,HP:0000592,HP:0000852",not found,,
"HP:0000002,HP:0000593,HP:0000853",not found,,
"HP:0000002,HP:0000597,HP:0000855",not found,,
"HP:0000002,HP:0000598,HP:0000857",not found,,
"HP:0000002,HP:0000601,HP:0000859",not found,,
"HP:0000002,HP:0000606,HP:0000863",not found,,
"HP:0000002,HP:0000610,HP:0000864",not found,,
"HP:0000002,HP:0000613,HP:0000872",not found,,
"HP:0000002,HP:0000617,HP:0000873",not found,,
"HP:0000002,HP:0000622,HP:0000877",not found,,
"HP:0000002,HP:0000632,HP:0000924",not found,,
"HP:0000002,HP:0000649,HP:0000929",not found,,
"HP:0000002,HP:0000657,HP:0000943",not found,,
"HP:0000002,HP:0000662,HP:0000958",not found,,
"HP:0000002,HP:0000667,HP:0000965",not found,,
"HP:0000002,HP:0000708,HP:0000966",not found,,
"HP:0000002,HP:0000743,HP:0000969",not found,,
"HP:0000002,HP:0000759,HP:0000970",not found,,
"HP:0000002,HP:0000763,HP:0000971",not found,,
"HP:0000002,HP:0000764,HP:0000975",not found,,
"HP:0000002,HP:0000769,HP:0000979",not found,,
"HP:0000002,HP:0000771,HP:0001000",not found,,
"HP:0000002,HP:0000775,HP:0001001",not found,,
"HP:0000002,HP:0000777,HP:0001009",not found,,
"HP:0000002,HP:0000795,HP:0001014",not found,,
"HP:0000002,HP:0000811,HP:0001025",not found,,
"HP:0000002,HP:0000812,HP:0001028",not found,,
"HP:0000002,HP:0000820,HP:0001029",not found,,
"HP:0000002,HP:0000821,HP:0001067",not found,,
"HP:0000002,HP:0000823,HP:0001072",not found,,
"HP:0000002,HP:0000826,HP:0001087",not found,,
"HP:0000002,HP:0000828,HP:0001155",not found,,
"HP:0000002,HP:0000829,HP:0001167",not found,,
"HP:0000002,HP:0000831,HP:0001194",not found,,
"HP:0000002,HP:0000834,HP:0001196",not found,,
"HP:0000002,HP:0000835,HP:0001197",not found,,
"HP:0000002,HP:0000841,HP:0001218",not found,,
"HP:0000002,HP:0000842,HP:0001231",not found,,
"HP:0000002,HP:0000843,HP:0001249",not found,,
"HP:0000002,HP:0000079,HP:0000846",not found,,
"HP:0000002,HP:0000119,HP:0000847",not found,,
"HP:0000002,HP:0000144,HP:0000848",not found,,
"HP:0000002,HP:0000152,HP:0000849",not found,,
"HP:0000002,HP:0000240,HP:0000852",not found,,
"HP:0000002,HP:0000271,HP:0000853",not found,,
"HP:0000002,HP:0000290,HP:0000855",not found,,
"HP:0000002,HP:0000309,HP:0000857",not found,,
"HP:0000002,HP:0000316,HP:0000859",not found,,
"HP:0000002,HP:0000364,HP:0000863",not found,,
"HP:0000002,HP:0000372,HP:0000864",not found,,
"HP:0000002,HP:0000377,HP:0000872",not found,,
"HP:0000002,HP:0000465,HP:0000873",not found,,
"HP:0000002,HP:0000478,HP:0000877",not found,,
"HP:0000002,HP:0000525,HP:0000924",not found,,
"HP:0000002,HP:0000528,HP:0000927",not found,,
"HP:0000002,HP:0000589,HP:0000929",not found,,
"HP:0000002,HP:0000591,HP:0000943",not found,,
"HP:0000002,HP:0000606,HP:0000958",not found,,
"HP:0000002,HP:0000610,HP:0000965",not found,,
"HP:0000002,HP:0000617,HP:0000966",not found,,
"HP:0000002,HP:0000622,HP:0000969",not found,,
"HP:0000002,HP:0000632,HP:0000970",not found,,
"HP:0000002,HP:0000649,HP:0000971",not found,,
"HP:0000002,HP:0000657,HP:0000975",not found,,
"HP:0000002,HP:0000662,HP:0000978",not found,,
"HP:0000002,HP:0000667,HP:0000979",not found,,
"HP:0000002,HP:0000708,HP:0001000",not found,,
"HP:0000002,HP:0000743,HP:0001001",not found,,
"HP:0000002,HP:0000759,HP:0001009",not found,,
"HP:0000002,HP:0000826,HP:0001014",not found,,
"HP:0000002,HP:0000829,HP:0001025",not found,,
"HP:0000002,HP:0000846,HP:0001028",not found,,
"HP:0000002,HP:0000848,HP:0001029",not found,,
"HP:0000002,HP:0000927,HP:0001067",not found,,
"HP:0000002,HP:0000978,HP:0001072",not found,,
"HP:0000002,HP:0001087,HP:0001090",not found,,
"HP:0000002,HP:0000127,HP:0001090",not found,,
"HP:0000002,HP:0000135,HP:0001155",not found,,
"HP:0000002,HP:0000306,HP:0001167",not found,,
"HP:0000002,HP:0000366,HP:0001194",not found,,
"HP:0000002,HP:0000370,HP:0001196",not found,,
"HP:0000002,HP:0000613,HP:0001197",not found,,
"HP:0000002,HP:0000769,HP:0001218",not found,,
"HP:0000002,HP:0000365,HP:0001231",not found,,
"HP:0000002,HP:0000464,HP:0001249",not found,,
"HP:0000014,HP:0000069,HP:0000465",not found,,
"HP:0000014,HP:0000075,HP:0000472",not found,,
"HP:0000014,HP:0000077,HP:0000475",not found,,
"HP:0000014,HP:0000098,HP:0000481",not found,,
"HP:0000014,HP:0000127,HP:0000490",not found,,
"HP:0000014,HP:0000135,HP:0000496",not found,,
"HP:0000014,HP:0000144,HP:0000501",not found,,
"HP:0000014,HP:0000152,HP:0000504",not found,,
"HP:0000014,HP:0000153,HP:0000505",not found,,
"HP:0000014,HP:0000223,HP:0000508",not found,,
"HP:0000014,HP:0000224,HP:0000517",not found,,
"HP:0000014,HP:0000234,HP:0000528",not found,,
"HP:0000014,HP:0000235,HP:0000534",not found,,
"HP:0000014,HP:0000240,HP:0000540",not found,,
"HP:0000014,HP:0000271,HP:0000545",not found,,
"HP:0000014,HP:0000290,HP:0000549",not found,,
"HP:0000014,HP:0000306,HP:0000551",not found,,
"HP:0000014,HP:0000309,HP:0000554",not found,,
"HP:0000014,HP:0000315,HP:0000568",not found,,
"HP:0000014,HP:0000316,HP:0000570",not found,,
"HP:0000014,HP:0000356,HP:0000588",not found,,
"HP:0000014,HP:0000359,HP:0000589",not found,,
"HP:0000014,HP:0000360,HP:0000591",not found,,
"HP:0000014,HP:0000364,HP:0000592",not found,,
"HP:0000014,HP:0000365,HP:0000593",not found,,
"HP:0000014,HP:0000366,HP:0000597",not found,,
"HP:0000014,HP:0000370,HP:0000601",not found,,
"HP:0000014,HP:0000372,HP:0000606",not found,,
"HP:0000014,HP:0000377,HP:0000610",not found,,
"HP:0000014,HP:0000464,HP:0000613",not found,,
"HP:0000014,HP:0000465,HP:0000616",not found,,
"HP:0000014,HP:0000472,HP:0000617",not found,,
"HP:0000014,HP:0000475,HP:0000622",not found,,
"HP:0000014,HP:0000476,HP:0000632",not found,,
"HP:0000014,HP:0000481,HP:0000633",not found,,
"HP:0000014,HP:0000490,HP:0000649",not found,,
"HP:0000014,HP:0000496,HP:0000662",not found,,
"HP:0000014,HP:0000501,HP:0000667",not found,,
"HP:0000014,HP:0000504,HP:0000708",not found,,
"HP:0000014,HP:0000505,HP:0000743",not found,,
"HP:0000014,HP:0000508,HP:0000759",not found,,
"HP:0000014,HP:0000517,HP:0000763",not found,,
"HP:0000014,HP:0000520,HP:0000771",not found,,
"HP:0000014,HP:0000525,HP:0000775",not found,,
"HP:0000014,HP:0000528,HP:0000777",not found,,
"HP:0000014,HP:0000534,HP:0000778",not found,,
"HP:0000014,HP:0000539,HP:0000795",not found,,
"HP:0000014,HP:0000540,HP:0000809",not found,,
"HP:0000014,HP:0000542,HP:0000811",not found,,
"HP:0000014,HP:0000545,HP:0000812",not found,,
"HP:0000014,HP:0000549,HP:0000816",not found,,
"HP:0000014,HP:0000551,HP:0000820",not found,,
"HP:0000014,HP:0000553,HP:0000821",not found,,
"HP:0000014,HP:0000554,HP:0000823",not found,,
"HP:0000014,HP:0000568,HP:0000828",not found,,
"HP:0000014,HP:0000570,HP:0000829",not found,,
"HP:0000014,HP:0000588,HP:0000831",not found,,
"HP:0000014,HP:0000589,HP:0000834",not found,,
"HP:0000014,HP:0000591,HP:0000835",not found,,
"HP:0000014,HP:0000592,HP:0000836",not found,,
"HP:0000014,HP:0000593,HP:0000839",not found,,
"HP:0000014,HP:0000597,HP:0000840",not found,,
"HP:0000014,HP:0000598,HP:0000841",not found,,
"HP:0000014,HP:0000601,HP:0000842",not found,,
"HP:0000014,HP:0000606,HP:0000843",not found,,
"HP:0000014,HP:0000610,HP:0000846",not found,,
"HP:0000014,HP:0000613,HP:0000847",not found,,
"HP:0000014,HP:0000616,HP:0000848",not found,,
"HP:0000014,HP:0000617,HP:0000853",not found,,
"HP:0000014,HP:0000622,HP:0000855",not found,,
"HP:0000014,HP:0000632,HP:0000859",not found,,
"HP:0000014,HP:0000633,HP:0000863",not found,,
"HP:0000014,HP:0000649,HP:0000864",not found,,
"HP:0000014,HP:0000657,HP:0000872",not found,,
"HP:0000014,HP:0000662,HP:0000873",not found,,
"HP:0000014,HP:0000667,HP:0000924",not found,,
"HP:0000014,HP:0000707,HP:0000929",not found,,
"HP:0000014,HP:0000708,HP:0000943",not found,,
"HP:0000014,HP:0000743,HP:0000951",not found,,
"HP:0000014,HP:0000759,HP:0000958",not found,,
"HP:0000014,HP:0000763,HP:0000966",not found,,
"HP:0000014,HP:0000764,HP:0000979",not found,,
"HP:0000014,HP:0000769,HP:0000980",not found,,
"HP:0000014,HP:0000771,HP:0001001",not found,,
"HP:0000014,HP:0000775,HP:0001009",not found,,
"HP:0000014,HP:0000777,HP:0001014",not found,,
"HP:0000014,HP:0000778,HP:0001028",not found,,
"HP:0000014,HP:0000795,HP:0001029",not found,,
"HP:0000014,HP:0000809,HP:0001067",not found,,
"HP:0000014,HP:0000811,HP:0001072",not found,,
"HP:0000014,HP:0000812,HP:0001087",not found,,
"HP:0000014,HP:0000816,HP:0001098",not found,,
"HP:0000014,HP:0000820,HP:0001155",not found,,
"HP:0000014,HP:0000821,HP:0001167",not found,,
"HP:0000014,HP:0000823,HP:0001194",not found,,
"HP:0000014,HP:0000826,HP:0001195",not found,,
"HP:0000014,HP:0000828,HP:0001196",not found,,
"HP:0000014,HP:0000829,HP:0001197",not found,,
"HP:0000014,HP:0000831,HP:0001218",not found,,
"HP:0000014,HP:0000834,HP:0001231",not found,,
"HP:0000014,HP:0000835,HP:0001249",not found,,
"HP:0000014,HP:0000836,HP:0001250",not found,,
"HP:0000014,HP:0000069,HP:0000839",not found,,
"HP:0000014,HP:0000075,HP:0000840",not found,,
"HP:0000014,HP:0000077,HP:0000841",not found,,
"HP:0000014,HP:0000098,HP:0000842",not found,,
"HP:0000014,HP:0000127,HP:0000843",not found,,
"HP:0000014,HP:0000135,HP:0000846",not found,,
"HP:0000014,HP:0000144,HP:0000847",not found,,
"HP:0000014,HP:0000152,HP:0000848",not found,,
"HP:0000014,HP:0000223,HP:0000853",not found,,
"HP:0000014,HP:0000224,HP:0000855",not found,,
"HP:0000014,HP:0000234,HP:0000857",not found,,
"HP:0000014,HP:0000235,HP:0000859",not found,,
"HP:0000014,HP:0000240,HP:0000863",not found,,
"HP:0000014,HP:0000271,HP:0000864",not found,,
"HP:0000014,HP:0000290,HP:0000872",not found,,
"HP:0000014,HP:0000306,HP:0000873",not found,,
"HP:0000014,HP:0000309,HP:0000877",not found,,
"HP:0000014,HP:0000315,HP:0000924",not found,,
"HP:0000014,HP:0000316,HP:0000927",not found,,
"HP:0000014,HP:0000356,HP:0000929",not found,,
"HP:0000014,HP:0000359,HP:0000943",not found,,
"HP:0000014,HP:0000360,HP:0000951",not found,,
"HP:0000014,HP:0000364,HP:0000958",not found,,
"HP:0000014,HP:0000365,HP:0000965",not found,,
"HP:0000014,HP:0000366,HP:0000966",not found,,
"HP:0000014,HP:0000377,HP:0000969",not found,,
"HP:0000014,HP:0000464,HP:0000970",not found,,
"HP:0000014,HP:0000476,HP:0000971",not found,,
"HP:0000014,HP:0000520,HP:0000975",not found,,
"HP:0000014,HP:0000525,HP:0000978",not found,,
"HP:0000014,HP:0000539,HP:0000979",not found,,
"HP:0000014,HP:0000542,HP:0000980",not found,,
"HP:0000014,HP:0000553,HP:0001000",not found,,
"HP:0000014,HP:0000598,HP:0001001",not found,,
"HP:0000014,HP:0000657,HP:0001009",not found,,
"HP:0000014,HP:0000877,HP:0001014",not found,,
"HP:0000014,HP:0000927,HP:0001025",not found,,
"HP:0000014,HP:0000965,HP:0001028",not found,,
"HP:0000014,HP:0000969,HP:0001029",not found,,
"HP:0000014,HP:0000970,HP:0001067",not found,,
"HP:0000014,HP:0000971,HP:0001072",not found,,
"HP:0000014,HP:0000975,HP:0001087",not found,,
"HP:0000014,HP:0000978,HP:0001098",not found,,
"HP:0000014,HP:0001000,HP:0001155",not found,,
"HP:0000014,HP:0001025,HP:0001167",not found,,
"HP:0000014,HP:0000370,HP:0001194",not found,,
"HP:0000014,HP:0000372,HP:0001195",not found,,
"HP:0000014,HP:0000769,HP:0001196",not found,,
"HP:0000014,HP:0000857,HP:0001197",not found,,
"HP:0000014,HP:0000153,HP:0001218",not found,,
"HP:0000014,HP:0000707,HP:0001231",not found,,
"HP:0000014,HP:0000764,HP:0001249",not found,,
"HP:0000014,HP:0000775,HP:0001250",not found,,
"HP:0000069,HP:0000777",not found,,
"HP:0000014,HP:0000069,HP:0000778",not found,,
"HP:0000069,HP:0000077,HP:0000795",not found,,
"HP:0000069,HP:0000098,HP:0000809",not found,,
"HP:0000069,HP:0000127,HP:0000811",not found,,
"HP:0000069,HP:0000135,HP:0000812",not found,,
"HP:0000069,HP:0000144,HP:0000816",not found,,
"HP:0000069,HP:0000152,HP:0000819",not found,,
"HP:0000069,HP:0000153,HP:0000820",not found,,
"HP:0000069,HP:0000223,HP:0000821",not found,,
"HP:0000069,HP:0000224,HP:0000823",not found,,
"HP:0000069,HP:0000234,HP:0000826",not found,,
"HP:0000069,HP:0000235,HP:0000828",not found,,
"HP:0000069,HP:0000240,HP:0000829",not found,,
"HP:0000069,HP:0000271,HP:0000831",not found,,
"HP:0000069,HP:0000290,HP:0000834",not found,,
"HP:0000069,HP:0000306,HP:0000835",not found,,
"HP:0000069,HP:0000309,HP:0000836",not found,,
"HP:0000069,HP:0000356,HP:0000839",not found,,
"HP:0000069,HP:0000359,HP:0000840",not found,,
"HP:0000069,HP:0000360,HP:0000841",not found,,
"HP:0000069,HP:0000364,HP:0000842",not found,,
"HP:0000069,HP:0000365,HP:0000843",not found,,
"HP:0000069,HP:0000366,HP:0000846",not found,,
"HP:0000069,HP:0000370,HP:0000847",not found,,
"HP:0000069,HP:0000372,HP:0000848",not found,,
"HP:0000069,HP:0000377,HP:0000849",not found,,
"HP:0000069,HP:0000464,HP:0000852",not found,,
"HP:0000069,HP:0000465,HP:0000853",not found,,
"HP:0000069,HP:0000472,HP:0000855",not found,,
"HP:0000069,HP:0000475,HP:0000857",not found,,
"HP:0000069,HP:0000476,HP:0000859",not found,,
"HP:0000069,HP:0000478,HP:0000872",not found,,
"HP:0000069,HP:0000481,HP:0000873",not found,,
"HP:0000069,HP:0000490,HP:0000877",not found,,
"HP:0000069,HP:0000496,HP:0000924",not found,,
"HP:0000069,HP:0000501,HP:0000927",not found,,
"HP:0000069,HP:0000504,HP:0000943",not found,,
"HP:0000069,HP:0000505,HP:0000951",not found,,
"HP:0000069,HP:0000508,HP:0000958",not found,,
"HP:0000069,HP:0000512,HP:0000966",not found,,
"HP:0000069,HP:0000517,HP:0000970",not found,,
"HP:0000069,HP:0000525,HP:0000971",not found,,
"HP:0000069,HP:0000528,HP:0000975",not found,,
"HP:0000069,HP:0000534,HP:0001000",not found,,
"HP:0000069,HP:0000539,HP:0001001",not found,,
"HP:0000069,HP:0000540,HP:0001028",not found,,
"HP:0000069,HP:0000542,HP:0001029",not found,,
"HP:0000069,HP:0000545,HP:0001067",not found,,
"HP:0000069,HP:0000549,HP:0001087",not found,,
"HP:0000069,HP:0000551,HP:0001155",not found,,
"HP:0000069,HP:0000553,HP:0001167",not found,,
"HP:0000069,HP:0000554,HP:0001194",not found,,
"HP:0000069,HP:0000568,HP:0001195",not found,,
"HP:0000069,HP:0000570,HP:0001196",not found,,
"HP:0000069,HP:0000588,HP:0001197",not found,,
"HP:0000069,HP:0000589,HP:0001231",not found,,
"HP:0000069,HP:0000591",not found,,
"HP:0000014,HP:0000069,HP:0000592",not found,,
"HP:0000069,HP:0000077,HP:0000593",not found,,
"HP:0000069,HP:0000098,HP:0000597",not found,,
"HP:0000069,HP:0000127,HP:0000598",not found,,
"HP:0000069,HP:0000135,HP:0000601",not found,,
"HP:0000069,HP:0000144,HP:0000606",not found,,
"HP:0000069,HP:0000152,HP:0000610",not found,,
"HP:0000069,HP:0000153,HP:0000613",not found,,
"HP:0000069,HP:0000223,HP:0000617",not found,,
"HP:0000069,HP:0000224,HP:0000622",not found,,
"HP:0000069,HP:0000235,HP:0000632",not found,,
"HP:0000069,HP:0000240,HP:0000633",not found,,
"HP:0000069,HP:0000271,HP:0000649",not found,,
"HP:0000069,HP:0000290,HP:0000657",not found,,
"HP:0000069,HP:0000306,HP:0000662",not found,,
"HP:0000069,HP:0000309,HP:0000667",not found,,
"HP:0000069,HP:0000464,HP:0000707",not found,,
"HP:0000069,HP:0000465,HP:0000743",not found,,
"HP:0000069,HP:0000472,HP:0000759",not found,,
"HP:0000069,HP:0000475,HP:0000763",not found,,
"HP:0000069,HP:0000476,HP:0000764",not found,,
"HP:0000069,HP:0000478,HP:0000769",not found,,
"HP:0000069,HP:0000481,HP:0000771",not found,,
"HP:0000069,HP:0000490,HP:0000775",not found,,
"HP:0000069,HP:0000496,HP:0000777",not found,,
"HP:0000069,HP:0000501,HP:0000778",not found,,
"HP:0000069,HP:0000504,HP:0000795",not found,,
"HP:0000069,HP:0000505,HP:0000809",not found,,
"HP:0000069,HP:0000508,HP:0000811",not found,,
"HP:0000069,HP:0000512,HP:0000812",not found,,
"HP:0000069,HP:0000517,HP:0000816",not found,,
"HP:0000069,HP:0000525,HP:0000819",not found,,
"HP:0000069,HP:0000534,HP:0000820",not found,,
"HP:0000069,HP:0000542,HP:0000821",not found,,
"HP:0000069,HP:0000545,HP:0000823",not found,,
"HP:0000069,HP:0000554,HP:0000826",not found,,
"HP:0000069,HP:0000568,HP:0000828",not found,,
"HP:0000069,HP:0000570,HP:0000829",not found,,
"HP:0000069,HP:0000588,HP:0000831",not found,,
"HP:0000069,HP:0000589,HP:0000834",not found,,
"HP:0000069,HP:0000591,HP:0000835",not found,,
"HP:0000069,HP:0000592,HP:0000836",not found,,
"HP:0000069,HP:0000593,HP:0000839",not found,,
"HP:0000069,HP:0000597,HP:0000840",not found,,
"HP:0000069,HP:0000598,HP:0000841",not found,,
"HP:0000069,HP:0000601,HP:0000842",not found,,
"HP:0000069,HP:0000606,HP:0000843",not found,,
"HP:0000069,HP:0000610,HP:0000846",not found,,
"HP:0000069,HP:0000613,HP:0000847",not found,,
"HP:0000069,HP:0000617,HP:0000848",not found,,
"HP:0000069,HP:0000622,HP:0000849",not found,,
"HP:0000069,HP:0000632,HP:0000852",not found,,
"HP:0000069,HP:0000633,HP:0000853",not found,,
"HP:0000069,HP:0000649,HP:0000855",not found,,
"HP:0000069,HP:0000657,HP:0000857",not found,,
"HP:0000069,HP:0000662,HP:0000859",not found,,
"HP:0000069,HP:0000667,HP:0000863",not found,,
"HP:0000069,HP:0000743,HP:0000864",not found,,
"HP:0000069,HP:0000763,HP:0000872",not found,,
"HP:0000069,HP:0000764,HP:0000873",not found,,
"HP:0000069,HP:0000775,HP:0000877",not found,,
"HP:0000069,HP:0000863,HP:0000924",not found,,
"HP:0000069,HP:0000864,HP:0000927",not found,,
"HP:0000069,HP:0000929,HP:0000978",not found,,
