phenotype1,phenotype2,phenotype3
20,377,545
20,407,573
20,421,589
20,464,593
20,465,597
20,470,601
20,473,606
20,475,610
20,476,612
20,480,613
20,481,616
20,490,630
20,491,649
20,496,662
20,498,682
20,504,743
20,505,764
20,509,824
20,512,828
20,525,829
20,528,834
20,534,836
20,539,837
20,540,839
20,545,841
20,549,843
20,554,846
20,559,78
20,567,80
20,573,127
20,589,134
20,593,144
20,597,153
20,601,223
20,606,225
20,610,306
20,612,309
20,613,364
20,616,370
20,617,372
20,622,377
20,630,407
20,632,464
20,649,498
20,657,504
20,662,539
20,667,549
20,682,554
20,703,567
20,708,622
20,743,632
20,759,667
20,763,708
20,764,776
20,771,778
20,775,823
20,776,831
20,777,840
20,778,842
20,790,845
20,795,132
20,809,234
20,811,315
20,812,316
20,815,421
20,816,559
20,819,657
20,820,703
20,823,759
20,824,771
20,828,777
20,829,790
20,831,795
20,834,809
20,835,811
20,836,812
20,837,815
20,839,819
20,840,820
20,841,271
20,842,476
20,843,496
20,845,509
20,846,775
20,847,816
20,848,617
20,849,835
20,852,836
26,2,841
26,6,842
26,7,843
26,10,845
26,14,846
26,69,847
26,75,848
26,77,849
26,127,852
26,132,2
26,134,6
26,144,7
26,202,10
26,224,14
26,225,69
26,235,75
26,240,77
26,264,127
26,290,144
26,291,202
26,301,224
26,306,225
26,309,235
26,315,240
26,316,264
26,356,290
26,359,291
26,364,306
26,365,309
26,366,315
26,370,364
26,372,365
26,377,465
26,407,481
26,421,491
26,464,501
26,465,504
26,470,505
26,473,508
26,475,512
26,476,520
26,481,525
26,483,534
26,490,539
26,491,540
26,496,545
26,498,549
26,499,551
26,501,553
26,504,554
26,505,559
26,508,567
26,512,573
26,520,593
26,525,606
26,528,610
26,534,612
26,539,616
26,540,622
26,542,649
26,545,667
26,549,703
26,551,708
26,553,759
26,554,815
26,559,819
26,567,823
26,570,836
26,573,132
26,588,134
26,591,316
26,592,356
26,593,359
26,597,366
26,601,370
26,606,372
26,610,377
26,612,407
26,616,470
26,622,473
26,649,475
26,662,490
26,667,499
26,703,528
26,708,542
26,743,570
26,759,588
26,812,591
26,815,662
26,819,743
26,820,812
26,823,820
26,824,834
26,831,301
26,834,421
26,836,476
26,839,483
26,841,496
26,842,498
26,843,592
26,845,597
26,846,601
26,847,824
26,848,464
26,849,831
26,852,839
44,NULL,840
44,2,842
44,6,843
44,7,845
44,10,847
44,75,852
44,77,NULL
44,127,6
44,132,7
44,134,10
44,144,75
44,153,127
44,223,132
44,225,134
44,234,370
44,235,377
44,240,421
44,264,468
44,291,472
44,301,473
44,306,475
44,309,476
44,315,481
44,316,501
44,364,504
44,365,505
44,366,508
44,370,512
44,372,520
44,377,549
44,421,567
44,464,592
44,465,593
44,468,612
44,472,630
44,473,632
44,475,633
44,476,649
44,481,657
44,483,662
44,490,667
44,496,682
44,498,708
44,499,743
44,501,759
44,504,771
44,505,775
44,508,776
44,509,831
44,512,836
44,520,839
44,528,841
44,539,849
44,540,2
44,542,144
44,549,153
44,551,225
44,553,235
44,554,240
44,559,291
44,567,301
44,570,306
44,588,309
44,591,315
44,592,316
44,593,364
44,601,365
44,606,366
44,610,372
44,612,464
44,616,465
44,617,499
44,622,509
44,630,528
44,632,542
44,633,551
44,649,554
44,657,570
44,662,588
44,667,591
44,682,601
44,703,606
44,708,703
44,743,777
44,759,778
44,763,790
44,771,795
44,775,821
44,776,823
44,777,824
44,778,828
44,790,829
44,795,848
44,809,223
44,811,264
44,812,490
44,815,539
44,816,540
44,820,610
44,821,616
44,823,622
44,824,809
44,826,820
44,828,483
44,829,496
44,831,553
44,836,559
44,839,763
44,840,811
44,841,816
44,842,826
44,843,77
44,845,498
44,847,617
44,848,812
44,849,234
44,852,240
69,2,264
69,6,290
69,7,301
69,10,306
69,14,309
69,26,315
69,98,316
69,127,356
69,132,364
69,134,365
69,135,464
69,144,465
69,153,470
69,202,472
69,223,473
69,224,475
69,225,476
69,234,481
69,235,490
69,240,491
69,264,499
69,290,501
69,301,504
69,306,505
69,309,508
69,315,512
69,316,520
69,356,525
69,364,528
69,365,539
69,366,540
69,370,542
69,372,551
69,377,553
69,407,588
69,421,592
69,464,601
69,465,606
69,470,616
69,472,632
69,473,633
69,475,649
69,476,657
69,480,667
69,481,682
69,483,703
69,490,708
69,491,743
69,496,759
69,498,776
69,499,777
69,501,778
69,504,790
69,505,795
69,508,809
69,509,834
69,512,839
69,520,841
69,525,842
69,528,843
69,534,846
69,539,847
69,540,848
69,542,849
69,545,852
69,549,2
69,551,6
69,553,7
69,554,10
69,559,26
69,588,98
69,591,127
69,592,132
69,593,153
69,597,202
69,601,224
69,606,240
69,610,366
69,612,372
69,616,377
69,622,407
69,630,421
69,632,480
69,633,496
69,649,509
69,657,534
69,662,549
69,667,593
69,682,597
69,703,610
69,708,612
69,743,622
69,759,771
69,763,811
69,771,812
69,775,824
69,776,828
69,777,829
69,778,831
69,790,836
69,795,840
69,809,14
69,811,134
69,812,135
69,815,144
69,820,225
69,821,234
69,823,235
69,824,370
69,828,498
69,829,545
69,831,554
69,834,559
69,836,591
69,839,662
69,840,775
69,841,820
69,842,821
69,843,823
69,845,223
69,846,483
69,847,630
69,848,845
69,849,846
69,852,847
75,NULL,848
75,6,852
75,7,NULL
75,10,14
75,14,26
75,26,127
75,44,132
75,80,143
75,127,144
75,132,153
75,134,223
75,135,240
75,143,372
75,144,377
75,153,464
75,202,465
75,223,468
75,224,470
75,225,472
75,235,475
75,240,476
75,264,480
75,290,481
75,291,496
75,301,499
75,306,504
75,309,505
75,315,508
75,316,509
75,356,512
75,360,525
75,364,534
75,365,540
75,370,549
75,372,553
75,377,554
75,407,589
75,458,597
75,464,612
75,465,613
75,468,632
75,470,633
75,472,649
75,475,657
75,476,662
75,480,703
75,481,708
75,490,743
75,496,763
75,498,777
75,499,778
75,504,795
75,505,809
75,508,811
75,509,839
75,512,841
75,520,842
75,525,846
75,528,847
75,534,6
75,540,7
75,549,10
75,551,44
75,553,80
75,554,134
75,567,202
75,573,224
75,589,225
75,591,235
75,592,290
75,593,291
75,597,301
75,601,306
75,606,309
75,610,315
75,612,316
75,613,520
75,616,567
75,617,591
75,622,593
75,632,601
75,633,606
75,649,610
75,657,616
75,662,622
75,667,759
75,703,764
75,708,771
75,743,812
75,759,815
75,763,816
75,764,821
75,771,823
75,775,831
75,776,834
75,777,836
75,778,840
75,795,264
75,809,356
75,811,360
75,812,364
75,815,365
75,816,370
75,819,407
75,821,490
75,823,498
75,824,528
75,826,573
75,828,667
75,829,776
75,831,829
75,834,135
75,836,551
75,839,592
75,840,617
75,841,775
75,842,824
75,846,826
75,847,828
75,848,829
75,849,836
75,852,458
77,NULL,464
77,2,472
77,6,473
77,7,475
77,10,476
77,26,481
77,44,496
77,202,499
77,224,504
77,225,505
77,235,508
77,240,509
77,264,512
77,290,520
77,291,525
77,301,528
77,306,534
77,309,539
77,315,551
77,360,553
77,364,554
77,365,559
77,370,588
77,377,589
77,464,630
77,468,649
77,470,657
77,472,667
77,473,682
77,475,703
77,476,743
77,480,759
77,481,771
77,491,775
77,496,776
77,499,795
77,501,809
77,504,811
77,505,812
77,508,815
77,509,840
77,512,842
77,520,843
77,525,847
77,528,848
77,534,852
77,539,NULL
77,540,6
77,551,7
77,553,10
77,554,26
77,559,44
77,567,224
77,588,225
77,589,235
77,592,291
77,597,309
77,601,315
77,606,360
77,610,364
77,612,365
77,616,480
77,617,491
77,622,501
77,630,597
77,632,606
77,633,610
77,649,612
77,657,622
77,662,632
77,667,777
77,682,778
77,703,816
77,708,819
77,743,820
77,759,823
77,771,834
77,775,836
77,776,839
77,777,841
77,778,846
77,795,202
77,809,240
77,811,290
77,812,370
77,815,377
77,816,468
77,819,470
77,820,540
77,821,567
77,823,592
77,834,601
77,835,616
77,836,662
77,839,708
77,840,821
77,841,849
77,842,2
77,843,301
77,846,306
77,847,633
77,848,649
77,849,264
77,852,617
78,NULL,622
78,2,630
78,6,632
78,7,633
78,10,662
78,20,667
78,98,682
78,127,703
78,202,708
78,223,743
78,224,771
78,235,775
78,240,776
78,264,795
78,291,809
78,301,816
78,306,819
78,309,820
78,316,821
78,356,823
78,364,824
78,365,828
78,370,829
78,372,834
78,377,836
78,458,839
78,464,842
78,465,846
78,468,852
78,470,6
78,472,7
78,473,10
78,475,20
78,476,98
78,480,127
78,481,202
78,490,223
78,491,224
78,499,235
78,501,240
78,505,291
78,508,301
78,509,306
78,512,309
78,517,356
78,520,364
78,525,365
78,528,370
78,534,372
78,539,377
78,540,464
78,549,465
78,551,470
78,553,472
78,554,473
78,559,475
78,567,476
78,568,480
78,589,499
78,591,505
78,597,508
78,601,509
78,606,512
78,610,520
78,612,528
78,613,540
78,616,553
78,617,559
78,622,567
78,630,591
78,632,597
78,633,601
78,657,610
78,662,613
78,667,616
78,682,617
78,703,790
78,708,835
78,743,849
78,759,NULL
78,771,2
78,775,264
78,776,316
78,790,481
78,795,490
78,809,491
78,816,501
78,819,525
78,820,534
78,821,539
78,823,549
78,824,554
78,828,568
78,829,606
78,834,657
78,835,759
78,836,848
78,839,458
78,842,551
78,846,589
78,848,612
78,849,517
78,852,468
79,NULL,473
79,2,475
79,6,476
79,202,480
79,223,491
79,225,496
79,235,501
79,264,520
79,366,568
79,370,589
79,372,597
79,407,610
79,464,632
79,465,657
79,472,703
79,473,708
79,475,759
79,476,764
79,480,812
79,491,819
79,496,831
79,501,834
79,505,837
79,508,NULL
79,509,2
79,512,6
79,520,202
79,525,223
79,528,225
79,539,235
79,553,264
79,568,366
79,588,370
79,589,372
79,597,464
79,601,465
79,606,505
79,610,508
79,612,509
79,616,512
79,622,525
79,630,539
79,632,553
79,657,588
79,662,601
79,667,606
79,703,612
79,708,630
79,759,839
79,763,841
79,764,842
79,812,472
79,819,528
79,831,616
79,834,662
79,837,622
79,839,667
79,840,407
79,841,763
79,842,764
80,NULL,776
80,2,777
80,6,790
80,7,795
80,10,809
80,20,811
80,75,812
80,98,816
80,143,828
80,153,834
80,202,835
80,223,836
80,225,837
80,234,839
80,235,841
80,240,842
80,271,843
80,291,845
80,301,846
80,306,847
80,309,848
80,316,849
80,356,852
80,360,NULL
80,364,2
80,366,6
80,370,7
80,372,10
80,377,20
80,407,75
80,421,98
80,458,202
80,464,223
80,465,225
80,468,235
80,470,240
80,472,271
80,473,291
80,475,306
80,476,309
80,480,356
80,481,360
80,483,366
80,490,370
80,491,372
80,496,377
80,498,465
80,499,470
80,501,472
80,505,473
80,508,475
80,509,476
80,512,481
80,520,490
80,525,491
80,528,499
80,534,508
80,539,512
80,540,528
80,549,540
80,551,588
80,553,589
80,554,597
80,559,601
80,567,606
80,570,633
80,588,657
80,589,662
80,591,667
80,592,682
80,597,703
80,601,708
80,606,759
80,610,820
80,612,821
80,616,823
80,617,840
80,622,143
80,630,301
80,633,316
80,657,364
80,662,407
80,667,458
80,682,464
80,703,468
80,708,480
80,743,496
80,759,501
80,763,520
80,764,525
80,776,549
80,777,554
80,790,559
80,795,567
80,809,570
80,811,591
80,812,592
80,816,610
80,820,612
80,821,622
80,823,630
80,824,743
80,828,763
80,834,153
80,835,234
80,836,483
80,837,498
80,839,505
80,840,509
80,841,534
80,842,539
80,843,551
80,845,553
80,846,616
80,847,764
80,848,824
80,849,828
80,852,834
98,6,836
98,7,837
98,14,839
98,20,840
98,69,843
98,78,849
98,80,852
98,132,6
98,134,7
98,144,14
98,153,20
98,202,69
98,224,78
98,225,80
98,234,372
98,235,421
98,240,464
98,264,470
98,271,472
98,290,475
98,291,476
98,306,480
98,309,481
98,315,483
98,316,508
98,356,509
98,364,520
98,365,542
98,366,545
98,370,553
98,372,554
98,377,559
98,421,568
98,464,613
98,465,622
98,468,630
98,470,632
98,472,682
98,473,703
98,475,708
98,476,771
98,480,775
98,481,776
98,483,778
98,490,790
98,491,795
98,496,812
98,498,816
98,499,819
98,501,820
98,504,821
98,508,823
98,509,841
98,512,846
98,520,847
98,525,848
98,528,132
98,534,144
98,539,153
98,540,224
98,542,225
98,545,235
98,549,240
98,553,306
98,554,309
98,559,316
98,567,356
98,568,364
98,570,365
98,573,366
98,588,377
98,591,512
98,592,540
98,593,549
98,597,573
98,601,588
98,606,593
98,610,597
98,612,601
98,613,662
98,617,667
98,622,759
98,630,763
98,632,764
98,633,777
98,662,815
98,667,824
98,682,829
98,703,831
98,708,834
98,759,842
98,763,264
98,764,271
98,771,315
98,775,465
98,776,468
98,777,490
98,778,491
98,790,496
98,795,498
98,812,499
98,815,501
98,816,504
98,819,534
98,820,539
98,821,591
98,823,606
98,824,633
98,826,845
98,829,202
98,831,234
98,834,290
98,836,370
98,837,473
98,839,525
98,840,528
98,841,567
98,842,570
98,843,610
98,845,612
98,846,291
98,847,592
98,848,134
98,849,826
98,852,829
127,NULL,831
127,6,837
127,7,839
127,10,840
127,14,841
127,20,842
127,26,843
127,44,845
127,69,846
127,75,847
127,78,852
127,144,NULL
127,153,7
127,202,14
127,223,20
127,224,26
127,225,44
127,235,69
127,240,75
127,264,78
127,290,153
127,301,202
127,306,223
127,309,225
127,315,235
127,316,240
127,356,264
127,359,290
127,360,309
127,364,315
127,365,356
127,366,360
127,370,365
127,372,464
127,377,468
127,421,470
127,464,483
127,465,490
127,468,501
127,470,504
127,472,505
127,473,509
127,475,520
127,480,525
127,481,528
127,483,540
127,490,549
127,491,551
127,496,553
127,498,559
127,499,567
127,501,568
127,504,573
127,505,588
127,509,589
127,512,591
127,520,597
127,525,617
127,528,622
127,540,632
127,542,633
127,549,649
127,551,662
127,553,667
127,554,682
127,559,703
127,567,708
127,568,759
127,570,763
127,573,776
127,588,777
127,589,778
127,591,790
127,592,809
127,593,811
127,597,816
127,601,819
127,606,820
127,610,821
127,612,823
127,617,848
127,622,849
127,630,6
127,632,10
127,633,144
127,649,224
127,657,306
127,662,316
127,667,359
127,682,364
127,703,366
127,708,370
127,743,372
127,759,377
127,763,465
127,764,473
127,771,475
127,775,480
127,776,481
127,777,491
127,778,496
127,790,498
127,795,499
127,809,512
127,811,554
127,812,570
127,815,606
127,816,612
127,819,630
127,820,743
127,821,764
127,823,771
127,824,775
127,826,795
127,828,812
127,829,815
127,831,472
127,835,542
127,836,601
127,837,610
127,839,657
127,840,824
127,841,826
127,842,828
127,843,593
127,845,829
127,846,836
127,847,301
127,848,592
127,849,593
127,852,835
132,NULL,837
132,2,840
132,6,841
132,7,842
132,10,848
132,20,849
132,26,852
132,44,NULL
132,69,2
132,75,6
132,98,20
132,144,26
132,153,44
132,202,98
132,223,225
132,224,301
132,225,306
132,235,309
132,240,315
132,291,364
132,301,365
132,306,370
132,309,377
132,315,464
132,316,512
132,356,520
132,364,540
132,365,549
132,370,551
132,372,559
132,377,567
132,464,568
132,465,588
132,468,589
132,470,592
132,472,593
132,473,601
132,475,606
132,476,610
132,480,616
132,481,622
132,483,630
132,490,632
132,491,633
132,496,667
132,499,682
132,501,708
132,504,759
132,505,771
132,508,775
132,509,845
132,512,847
132,520,10
132,525,69
132,528,75
132,540,144
132,542,153
132,549,202
132,551,224
132,553,240
132,559,356
132,567,372
132,568,470
132,570,475
132,573,476
132,588,481
132,589,483
132,591,508
132,592,509
132,593,528
132,601,542
132,606,553
132,610,573
132,612,591
132,613,7
132,616,235
132,617,291
132,622,465
132,630,468
132,632,472
132,633,473
132,649,480
132,657,490
132,662,491
132,667,501
132,682,504
132,703,505
132,708,525
132,743,612
132,759,649
132,764,662
132,771,703
132,775,316
132,776,496
132,777,499
132,778,570
132,790,657
132,795,777
132,809,795
132,811,815
132,815,823
132,816,824
132,819,836
132,820,839
132,821,223
132,823,743
132,824,764
132,828,776
132,829,778
132,836,790
132,837,811
132,839,820
132,840,828
132,841,829
132,842,617
132,845,816
132,847,819
132,848,821
132,849,809
132,852,811
134,NULL,812
134,2,815
134,6,816
134,7,819
134,10,820
134,14,821
134,20,834
134,26,839
134,44,841
134,69,845
134,75,NULL
134,98,6
134,202,7
134,223,10
134,224,20
134,225,26
134,235,44
134,291,75
134,301,225
134,306,235
134,309,315
134,315,316
134,316,525
134,356,528
134,360,539
134,364,542
134,365,545
134,366,551
134,370,554
134,372,567
134,377,568
134,458,588
134,464,589
134,465,610
134,470,622
134,472,708
134,473,743
134,475,771
134,476,775
134,480,776
134,481,777
134,483,790
134,490,795
134,491,809
134,496,811
134,498,826
134,501,828
134,504,829
134,505,835
134,508,848
134,512,849
134,520,852
134,525,2
134,528,14
134,539,69
134,540,98
134,542,224
134,545,291
134,549,301
134,551,306
134,553,309
134,554,356
134,567,364
134,568,365
134,573,370
134,588,372
134,589,377
134,591,470
134,593,472
134,597,473
134,601,475
134,606,476
134,610,480
134,612,481
134,613,491
134,616,496
134,617,505
134,622,508
134,630,512
134,632,520
134,633,540
134,649,573
134,657,591
134,662,593
134,667,597
134,703,601
134,708,606
134,743,616
134,759,836
134,764,840
134,771,842
134,775,843
134,776,202
134,777,223
134,778,366
134,790,464
134,795,465
134,809,490
134,811,501
134,812,504
134,815,553
134,816,617
134,819,632
134,820,633
134,821,649
134,826,657
134,828,662
134,829,667
134,834,703
134,835,764
134,836,847
134,837,360
134,839,498
134,840,549
134,841,612
134,842,630
134,843,759
134,845,778
134,847,613
134,848,483
134,849,837
134,852,841
135,NULL,843
135,2,845
135,10,69
135,69,153
135,75,202
135,153,240
135,202,309
135,235,315
135,240,465
135,309,491
135,315,520
135,458,525
135,464,542
135,465,545
135,491,549
135,509,553
135,512,554
135,520,589
135,525,622
135,542,630
135,545,708
135,549,776
135,553,778
135,554,790
135,567,812
135,568,816
135,588,819
135,589,821
135,597,823
135,606,826
135,612,836
135,622,837
135,630,840
135,708,841
135,776,842
135,778,2
135,790,10
135,812,75
135,816,235
135,819,458
135,821,464
135,823,509
135,826,512
135,834,568
135,836,597
135,837,834
135,840,NULL
135,841,588
135,842,606
135,843,567
135,845,568
143,NULL,573
143,2,588
143,6,591
143,14,597
143,75,601
143,80,606
143,224,610
143,225,612
143,240,617
143,366,630
143,370,632
