HPO_ID,Count,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Level_10,Level_11,Level_12,Level_13,Level_14,Level_15,Level_16
HP:0001270,28,HP:0001270,HP:0012758,HP:0012759,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0001290,27,HP:0001290,HP:0001252,HP:0003808,HP:0011804,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,,,,
HP:0000316,27,HP:0000316,HP:0100886,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000028,25,HP:0000028,HP:0000035,HP:0000032,HP:0000811,HP:0012243,HP:0000078,HP:0000119,HP:0000118,HP:0000001,,,,,,,
HP:0000175,25,HP:0000175,HP:0000174,HP:0000163,HP:0031816,HP:0000153,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,
HP:0000365,24,HP:0000365,HP:0000364,HP:0031704,HP:0000598,HP:0000118,HP:0000001,,,,,,,,,,
HP:0001251,24,HP:0001251,HP:0011443,HP:0011442,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0000486,24,HP:0000486,HP:0000549,HP:0000496,HP:0012373,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,
HP:0001596,23,HP:0001596,HP:0011362,HP:0001595,HP:0011138,HP:0001574,HP:0000118,HP:0000001,,,,,,,,,
HP:0000613,23,HP:0000613,HP:0000504,HP:0012373,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000518,23,HP:0000518,HP:0000517,HP:0004328,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,
HP:0001258,22,HP:0001258,HP:0002061,HP:0034353,HP:0001257,HP:0001276,HP:0003808,HP:0011804,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,
HP:0003596,22,HP:0003596,HP:0003581,HP:0003674,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,
HP:0002936,22,HP:0002936,HP:0003474,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000508,22,HP:0000508,HP:0012373,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,,,
HP:0002240,21,HP:0002240,HP:0003271,HP:0001438,HP:0025031,HP:0000118,HP:0000001,,,,,,,,,,
HP:0001257,21,HP:0001257,HP:0001276,HP:0003808,HP:0011804,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,,,,
HP:0000662,21,HP:0000662,HP:0000504,HP:0012373,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000648,20,HP:0000648,HP:0012795,HP:0000587,HP:0001098,HP:0004329,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,
HP:0001508,20,HP:0001508,HP:0004325,HP:0004323,HP:0001507,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000543,20,HP:0000543,HP:0012795,HP:0000587,HP:0001098,HP:0004329,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,
HP:0001133,20,HP:0001133,HP:0001123,HP:0000505,HP:0000504,HP:0012373,HP:0000478,HP:0000118,HP:0000001,,,,,,,,
HP:0003155,20,HP:0003155,HP:0004379,HP:0012379,HP:0034684,HP:0001939,HP:0000118,HP:0000001,,,,,,,,,
HP:0000750,20,HP:0000750,HP:0002167,HP:4000072,HP:0034434,HP:0025792,HP:0011446,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,
HP:0000978,20,HP:0000978,HP:0001933,HP:0001892,HP:0001871,HP:0000118,HP:0000001,,,,,,,,,,
HP:0001762,20,HP:0001762,HP:0001883,HP:0005656,HP:0001760,HP:0002814,HP:0040064,HP:0000118,HP:0000001,,,,,,,,
HP:0001510,19,HP:0001510,HP:0001507,HP:0000118,HP:0000001,,,,,,,,,,,,
HP:0003677,19,HP:0003677,HP:0003676,HP:0003679,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,
HP:0005280,19,HP:0005280,HP:0000422,HP:0005105,HP:0000366,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,,
HP:0011462,19,HP:0011462,HP:0003581,HP:0003674,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,
HP:0000787,18,HP:0000787,HP:0012210,HP:0000077,HP:0010935,HP:0000079,HP:0000119,HP:0000118,HP:0000001,,,,,,,,
HP:0001284,18,HP:0001284,HP:0001315,HP:0031826,HP:0100022,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,
HP:0010783,18,HP:0010783,HP:0011276,HP:0002597,HP:0001626,HP:0000118,HP:0000001,,,,,,,,,,
HP:0001265,18,HP:0001265,HP:0001315,HP:0031826,HP:0100022,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,
HP:0000369,18,HP:0000369,HP:0000357,HP:0000377,HP:0000356,HP:0031703,HP:0000598,HP:0000118,HP:0000001,,,,,,,,
HP:0011800,18,HP:0011800,HP:0000309,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,,,,
HP:0000272,18,HP:0000272,HP:0010668,HP:0000309,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,,,
HP:0003693,18,HP:0003693,HP:0003202,HP:0011805,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,,,,,
HP:0003202,18,HP:0003202,HP:0011805,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,,,,,,
Mobile:,17,Mobile:,,,,,,,,,,,,,,,
HP:0000494,17,HP:0000494,HP:0200006,HP:0008050,HP:0000492,HP:0030669,HP:0032039,HP:0000315,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,
HP:0200134,17,HP:0200134,HP:0001298,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000519,17,HP:0000519,HP:0000518,HP:0000517,HP:0004328,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,,
HP:0001903,17,HP:0001903,HP:0001877,HP:0001871,HP:0000118,HP:0000001,,,,,,,,,,,
HP:0000612,17,HP:0000612,HP:0000525,HP:0000553,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,
HP:0002015,17,HP:0002015,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,,,
HP:0000218,17,HP:0000218,HP:0000174,HP:0000163,HP:0031816,HP:0000153,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,
HP:0000256,16,HP:0000256,HP:0040194,HP:0000240,HP:0000929,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,,,
HP:0000431,16,HP:0000431,HP:0000422,HP:0005105,HP:0000366,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,,
HP:0000023,16,HP:0000023,HP:0004299,HP:0010866,HP:0004298,HP:0025031,HP:0000118,HP:0000001,,,,,,,,,
HP:0002119,16,HP:0002119,HP:0002118,HP:0012443,HP:0002011,HP:0012639,HP:0000707,HP:0000118,HP:0000001,,,,,,,,
HP:0000505,16,HP:0000505,HP:0000504,HP:0012373,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,,
HP:0002540,16,HP:0002540,HP:0001288,HP:0100022,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0000938,15,HP:0000938,HP:0004349,HP:0004348,HP:0011849,HP:0003330,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,
HP:0004409,15,HP:0004409,HP:0004408,HP:0000366,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,,,
HP:0000729,15,HP:0000729,HP:0025783,HP:0000708,HP:0011446,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,
HP:0003510,15,HP:0003510,HP:0003508,HP:0004322,HP:0000002,HP:0001507,HP:0000118,HP:0000001,,,,,,,,,
HP:0001371,15,HP:0001371,HP:0034392,HP:0003549,HP:0033127,HP:0000118,HP:0000001,,,,,,,,,,
HP:0001744,15,HP:0001744,HP:0003271,HP:0001438,HP:0025031,HP:0000118,HP:0000001,,,,,,,,,,
HP:0007663,15,HP:0007663,HP:0000505,HP:0000504,HP:0012373,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,
HP:0011968,15,HP:0011968,HP:0011458,HP:0025032,HP:0025031,HP:0000118,HP:0000001,,,,,,,,,,
HP:0002460,15,HP:0002460,HP:0001324,HP:0011804,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,,,,,
HP:0003676,15,HP:0003676,HP:0003679,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,,
HP:0001324,15,HP:0001324,HP:0011804,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,,,,,,
HP:0001272,15,HP:0001272,HP:0001317,HP:0011283,HP:0011282,HP:0012443,HP:0002011,HP:0012639,HP:0000707,HP:0000118,HP:0000001,,,,,,
HP:0000160,15,HP:0000160,HP:0011337,HP:0000163,HP:0031816,HP:0000153,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,
HP:0001426,15,HP:0001426,HP:0000005,HP:0000001,,,,,,,,,,,,,
HP:0001336,15,HP:0001336,HP:0004305,HP:0011442,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0002079,14,HP:0002079,HP:0007370,HP:0007364,HP:0002060,HP:0100547,HP:0012443,HP:0002011,HP:0012639,HP:0000707,HP:0000118,HP:0000001,,,,,
HP:0011001,14,HP:0011001,HP:0004348,HP:0011849,HP:0003330,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,,
HP:0006887,14,HP:0006887,HP:0001249,HP:0011446,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0003584,14,HP:0003584,HP:0003581,HP:0003674,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,
HP:0001363,14,HP:0001363,HP:0002683,HP:0000929,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,,,,
HP:0001999,14,HP:0001999,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,,,,,
HP:0002515,14,HP:0002515,HP:0001288,HP:0100022,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0001199,14,HP:0001199,HP:0009602,HP:0001172,HP:0001167,HP:0001155,HP:0002817,HP:0040064,HP:0000118,HP:0000001,,,,,,,
HP:0001347,14,HP:0001347,HP:0031826,HP:0100022,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0000821,14,HP:0000821,HP:0002926,HP:0000820,HP:0000818,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000490,14,HP:0000490,HP:0100886,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,,
HP:0002150,14,HP:0002150,HP:0011280,HP:0012591,HP:0003110,HP:0001939,HP:0000118,HP:0000001,,,,,,,,,
HP:0003623,14,HP:0003623,HP:0003674,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,,
HP:0000967,14,HP:0000967,HP:0031365,HP:0000979,HP:0001933,HP:0001892,HP:0001871,HP:0000118,HP:0000001,,,,,,,,
HP:0003026,14,HP:0003026,HP:0011314,HP:0011844,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,,,
HP:0001332,14,HP:0001332,HP:0100022,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000952,14,HP:0000952,HP:0001005,HP:0011354,HP:0011121,HP:0000951,HP:0001574,HP:0000118,HP:0000001,,,,,,,,
HP:0002063,14,HP:0002063,HP:0001276,HP:0003808,HP:0011804,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,,,,
HP:0003198,14,HP:0003198,HP:0011805,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,,,,,,
HP:0003186,14,HP:0003186,HP:0004404,HP:0031093,HP:0000769,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000510,14,HP:0000510,HP:0000556,HP:0000479,HP:0001098,HP:0004329,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,
HP:0000726,14,HP:0000726,HP:0001268,HP:0100543,HP:0011446,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,
HP:0000358,13,HP:0000358,HP:0000357,HP:0000377,HP:0000356,HP:0031703,HP:0000598,HP:0000118,HP:0000001,,,,,,,,
HP:0000062,13,HP:0000062,HP:0000811,HP:0012243,HP:0000078,HP:0000119,HP:0000118,HP:0000001,,,,,,,,,
HP:0000343,13,HP:0000343,HP:0000288,HP:0000177,HP:0000159,HP:0000163,HP:0031816,HP:0000153,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,
HP:0003128,13,HP:0003128,HP:0001941,HP:0004360,HP:0012337,HP:0001939,HP:0000118,HP:0000001,,,,,,,,,
HP:0007688,13,HP:0007688,HP:0008323,HP:0030466,HP:0000512,HP:0030453,HP:0012373,HP:0000478,HP:0000118,HP:0000001,,,,,,,
HP:0000520,13,HP:0000520,HP:0100886,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,,
HP:0011220,13,HP:0011220,HP:0000290,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,,,,
HP:0000054,13,HP:0000054,HP:0008736,HP:0000036,HP:0000032,HP:0000811,HP:0012243,HP:0000078,HP:0000119,HP:0000118,HP:0000001,,,,,,
HP:0002120,13,HP:0002120,HP:0002059,HP:0007369,HP:0002060,HP:0100547,HP:0012443,HP:0002011,HP:0012639,HP:0000707,HP:0000118,HP:0000001,,,,,
HP:0001733,13,HP:0001733,HP:0012091,HP:0001732,HP:0002012,HP:0025031,HP:0000118,HP:0000001,,,,,,,,,
HP:0001511,13,HP:0001511,HP:0001510,HP:0001507,HP:0000118,HP:0000001,,,,,,,,,,,
HP:0003236,13,HP:0003236,HP:0040081,HP:0011021,HP:0010876,HP:0032180,HP:0001939,HP:0000118,HP:0000001,,,,,,,,
HP:0001696,13,HP:0001696,HP:0001651,HP:0004307,HP:0001627,HP:0030680,HP:0001626,HP:0000118,HP:0000001,,,,,,,,
HP:0008404,13,HP:0008404,HP:0001597,HP:0011138,HP:0001574,HP:0000118,HP:0000001,,,,,,,,,,
HP:0003072,13,HP:0003072,HP:0004363,HP:0010927,HP:0010929,HP:0003111,HP:0032180,HP:0001939,HP:0000118,HP:0000001,,,,,,,
HP:0001348,13,HP:0001348,HP:0001347,HP:0031826,HP:0100022,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,
HP:0002151,13,HP:0002151,HP:0001941,HP:0004360,HP:0012337,HP:0001939,HP:0000118,HP:0000001,,,,,,,,,
HP:0000670,13,HP:0000670,HP:0011061,HP:0000164,HP:0000163,HP:0031816,HP:0000153,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,
HP:0008064,13,HP:0008064,HP:0011368,HP:0001072,HP:0011121,HP:0000951,HP:0001574,HP:0000118,HP:0000001,,,,,,,,
HP:0002344,13,HP:0002344,HP:0001268,HP:0100543,HP:0011446,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,
HP:0003487,13,HP:0003487,HP:0007256,HP:0002423,HP:0034482,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,
HP:0002910,13,HP:0002910,HP:0430135,HP:0012379,HP:0034684,HP:0001939,HP:0000118,HP:0000001,,,,,,,,,
HP:0001972,13,HP:0001972,HP:0010972,HP:0001903,HP:0001877,HP:0001871,HP:0000118,HP:0000001,,,,,,,,,
HP:0002066,13,HP:0002066,HP:0001251,HP:0011443,HP:0011442,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,
HP:0000253,13,HP:0000253,HP:0005484,HP:0000252,HP:0007364,HP:0002060,HP:0100547,HP:0012443,HP:0002011,HP:0012639,HP:0000707,HP:0000118,HP:0000001,,,,
HP:0000771,12,HP:0000771,HP:0031093,HP:0000769,HP:0000118,HP:0000001,,,,,,,,,,,
HP:0000103,12,HP:0000103,HP:0012590,HP:0011036,HP:0012211,HP:0000077,HP:0010935,HP:0000079,HP:0000119,HP:0000118,HP:0000001,,,,,,
HP:0007787,12,HP:0007787,HP:0000523,HP:0000518,HP:0000517,HP:0004328,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,
HP:0000979,12,HP:0000979,HP:0001933,HP:0001892,HP:0001871,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000767,12,HP:0000767,HP:0000766,HP:0000765,HP:0009121,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,,
HP:0002829,12,HP:0002829,HP:0012531,HP:0025142,HP:0000118,HP:0000001,,,,,,,,,,,
HP:0000601,12,HP:0000601,HP:0100886,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,,
HP:0008936,12,HP:0008936,HP:0001252,HP:0003808,HP:0011804,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,,,,
HP:0000568,12,HP:0000568,HP:0008056,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,,
HP:0008734,12,HP:0008734,HP:0000050,HP:0000032,HP:0000811,HP:0012243,HP:0000078,HP:0000119,HP:0000118,HP:0000001,,,,,,,
HP:0001288,12,HP:0001288,HP:0100022,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,,
HP:0001397,12,HP:0001397,HP:0006561,HP:0031137,HP:0034644,HP:0032243,HP:0001939,HP:0000118,HP:0000001,,,,,,,,
HP:0000470,12,HP:0000470,HP:0003319,HP:0000925,HP:0009121,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,,
HP:0001839,12,HP:0001839,HP:0001760,HP:0002814,HP:0040064,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000972,12,HP:0000972,HP:0007556,HP:0000962,HP:0011368,HP:0001072,HP:0011121,HP:0000951,HP:0001574,HP:0000118,HP:0000001,,,,,,
HP:0000926,12,HP:0000926,HP:0003312,HP:0003468,HP:0000925,HP:0009121,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,
HP:0012408,12,HP:0012408,HP:0000121,HP:0012210,HP:0000077,HP:0010935,HP:0000079,HP:0000119,HP:0000118,HP:0000001,,,,,,,
HP:0001276,12,HP:0001276,HP:0003808,HP:0011804,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,,,,,
HP:0001629,12,HP:0001629,HP:0010438,HP:0001671,HP:0001627,HP:0030680,HP:0001626,HP:0000118,HP:0000001,,,,,,,,
HP:0000768,12,HP:0000768,HP:0000766,HP:0000765,HP:0009121,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,,
HP:0000238,12,HP:0000238,HP:0002118,HP:0012443,HP:0002011,HP:0012639,HP:0000707,HP:0000118,HP:0000001,,,,,,,,
HP:0002072,12,HP:0002072,HP:0004305,HP:0011442,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0002721,12,HP:0002721,HP:0010978,HP:0002715,HP:0000118,HP:0000001,,,,,,,,,,,
HP:0001382,12,HP:0001382,HP:0011729,HP:0034430,HP:0011843,HP:0033127,HP:0000118,HP:0000001,,,,,,,,,
HP:0002315,12,HP:0002315,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,,,
HP:0003745,12,HP:0003745,HP:0000005,HP:0000001,,,,,,,,,,,,,
HP:0002751,12,HP:0002751,HP:0002650,HP:0010674,HP:0000925,HP:0009121,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,
HP:0002282,12,HP:0002282,HP:0002269,HP:0002011,HP:0012639,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0000219,12,HP:0000219,HP:0000233,HP:0000159,HP:0000163,HP:0031816,HP:0000153,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,
HP:0000592,12,HP:0000592,HP:0000591,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,,
HP:0000656,12,HP:0000656,HP:0000492,HP:0030669,HP:0032039,HP:0000315,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,
HP:0002758,12,HP:0002758,HP:0001369,HP:0001367,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,,,
HP:0007843,12,HP:0007843,HP:0008046,HP:0000479,HP:0001098,HP:0004329,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,
HP:0003774,12,HP:0003774,HP:0012622,HP:0000083,HP:0012211,HP:0000077,HP:0010935,HP:0000079,HP:0000119,HP:0000118,HP:0000001,,,,,,
HP:0002239,11,HP:0002239,HP:0011029,HP:0001892,HP:0001871,HP:0000118,HP:0000001,,,,,,,,,,
HP:0002750,11,HP:0002750,HP:0000927,HP:0011843,HP:0033127,HP:0000118,HP:0000001,,,,,,,,,,
HP:0008070,11,HP:0008070,HP:0011362,HP:0001595,HP:0011138,HP:0001574,HP:0000118,HP:0000001,,,,,,,,,
HP:0003429,11,HP:0003429,HP:0011400,HP:0002011,HP:0012639,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0001433,11,HP:0001433,HP:0001744,HP:0003271,HP:0001438,HP:0025031,HP:0000118,HP:0000001,,,,,,,,,
HP:0003811,11,HP:0003811,HP:0011420,HP:0040006,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,
HP:0001876,11,HP:0001876,HP:0012145,HP:0005561,HP:0001871,HP:0000118,HP:0000001,,,,,,,,,,
HP:0001204,11,HP:0001204,HP:0009700,HP:0004278,HP:0005922,HP:0001155,HP:0002817,HP:0040064,HP:0000118,HP:0000001,,,,,,,
HP:0000121,11,HP:0000121,HP:0012210,HP:0000077,HP:0010935,HP:0000079,HP:0000119,HP:0000118,HP:0000001,,,,,,,,
HP:0002136,11,HP:0002136,HP:0001288,HP:0100022,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0000824,11,HP:0000824,HP:0000830,HP:0040075,HP:0011747,HP:0012503,HP:0000864,HP:0000818,HP:0000118,HP:0000001,,,,,,,
HP:0004912,11,HP:0004912,HP:0002148,HP:0100529,HP:0003111,HP:0032180,HP:0001939,HP:0000118,HP:0000001,,,,,,,,
HP:0007502,11,HP:0007502,HP:0000962,HP:0011368,HP:0001072,HP:0011121,HP:0000951,HP:0001574,HP:0000118,HP:0000001,,,,,,,
HP:0000164,11,HP:0000164,HP:0000163,HP:0031816,HP:0000153,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,,
HP:0001171,11,HP:0001171,HP:0005922,HP:0001155,HP:0002817,HP:0040064,HP:0000118,HP:0000001,,,,,,,,,
HP:0011108,11,HP:0011108,HP:0000246,HP:0000245,HP:0002087,HP:0012252,HP:0002795,HP:0002086,HP:0000118,HP:0000001,,,,,,,
HP:0000822,11,HP:0000822,HP:0032263,HP:0030972,HP:0011025,HP:0001626,HP:0000118,HP:0000001,,,,,,,,,
HP:0000939,11,HP:0000939,HP:0004349,HP:0004348,HP:0011849,HP:0003330,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,
HP:0002937,11,HP:0002937,HP:0003312,HP:0003468,HP:0000925,HP:0009121,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,
HP:0002036,11,HP:0002036,HP:0002577,HP:0012718,HP:0011024,HP:0025031,HP:0000118,HP:0000001,,,,,,,,,
HP:0000556,11,HP:0000556,HP:0000479,HP:0001098,HP:0004329,HP:0012372,HP:0000478,HP:0000118,HP:0000001,,,,,,,,
HP:0001274,11,HP:0001274,HP:0007370,HP:0007364,HP:0002060,HP:0100547,HP:0012443,HP:0002011,HP:0012639,HP:0000707,HP:0000118,HP:0000001,,,,,
HP:0000280,11,HP:0000280,HP:0001999,HP:0000271,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,,,,
HP:0001410,11,HP:0001410,HP:0025155,HP:0025032,HP:0025031,HP:0000118,HP:0000001,,,,,,,,,,
HP:0001644,11,HP:0001644,HP:0001638,HP:0001637,HP:0001627,HP:0030680,HP:0001626,HP:0000118,HP:0000001,,,,,,,,
HP:0000037,11,HP:0000037,HP:0000032,HP:0000811,HP:0012243,HP:0000078,HP:0000119,HP:0000118,HP:0000001,,,,,,,,
HP:0001256,11,HP:0001256,HP:0001249,HP:0011446,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0012265,11,HP:0012265,HP:0012262,HP:0012261,HP:0002795,HP:0002086,HP:0000118,HP:0000001,,,,,,,,,
HP:0002671,11,HP:0002671,HP:0008069,HP:0000951,HP:0001574,HP:0000118,HP:0000001,,,,,,,,,,
HP:0003003,11,HP:0003003,HP:0100273,HP:0100834,HP:0002250,HP:0002242,HP:0012718,HP:0011024,HP:0025031,HP:0000118,HP:0000001,,,,,,
