Average Accuracy,18.31%
FirstGroup,Oracle,ExpandedFirstGroup,Accuracy,ElapsedTime
"HP:0100799, HP:0009855, HP:0000286, HP:0006970, HP:0012864, HP:0006265","HP:0002518, HP:0009291, HP:0012867, HP:0100455, HP:0100548, HP:0100799, HP:0200005","HP:0012639, HP:0002352, HP:0012243, HP:0006970, HP:0000598, HP:0009771, HP:0001155, HP:0002518, HP:0006265, HP:0040064, HP:0100799, HP:0030669, HP:0012443, HP:0000118, HP:0012863, HP:0000286, HP:0031703, HP:0000707, HP:0000370, HP:0001167, HP:0000315, HP:0000271, HP:0002011, HP:0032039, HP:0000078, HP:0012862, HP:0005918, HP:0002060, HP:0000119, HP:0002817, HP:0009855, HP:0000152, HP:0000492, HP:0012864, HP:0100547, HP:0000234",28.57%,81.48319816589355
"HP:0000405, HP:0001924, HP:0001319, HP:0000093","HP:0003126, HP:0004799, HP:0004828, HP:0005487, HP:0008935, HP:0011452, HP:0012863","HP:0001939, HP:0003110, HP:0020129, HP:0031704, HP:0001319, HP:0000598, HP:0000365, HP:0001924, HP:0000364, HP:0003011, HP:0003808, HP:0000118, HP:0011804, HP:0001877, HP:0033354, HP:0000093, HP:0000405, HP:0001871, HP:0033127, HP:0001903, HP:0010972, HP:0001252",0.0%,64.56118512153625
"HP:0100732, HP:0009004, HP:0000047, HP:0005274, HP:0000362","HP:0008743, HP:0009026, HP:0011833, HP:0012081, HP:0100732, HP:0200111","HP:0002012, HP:0001460, HP:0005274, HP:0030236, HP:0001732, HP:0008609, HP:0000598, HP:0012090, HP:0004452, HP:0000366, HP:0000047, HP:0010936, HP:0100732, HP:0003011, HP:0000118, HP:0011805, HP:0000119, HP:0000079, HP:0005105, HP:0000436, HP:0010938, HP:0000362, HP:0100627, HP:0031703, HP:0000795, HP:0000152, HP:0000370, HP:0033127, HP:0000234, HP:0008628, HP:0000271, HP:0025031, HP:0009004",16.67%,59.88948202133179
"HP:0000027, HP:0000370, HP:0001363, HP:0012198, HP:0006695, HP:0006721","HP:0000798, HP:0002645, HP:0004339, HP:0004452, HP:0006705, HP:0006721, HP:0100494, HP:0100896","HP:0000080, HP:0000078, HP:0006721, HP:0000929, HP:0012718, HP:0002488, HP:0000598, HP:0001363, HP:0004390, HP:0006695, HP:0001627, HP:0002242, HP:0000118, HP:0000119, HP:0030680, HP:0001671, HP:0012198, HP:0011024, HP:0031703, HP:0002683, HP:0000370, HP:0000152, HP:0001871, HP:0000025, HP:0008669, HP:0000027, HP:0005266, HP:0001626, HP:0000234, HP:0001881, HP:0025031, HP:0001909, HP:0012874",12.5%,88.78795194625854
"HP:0000140, HP:0000020, HP:0100799, HP:0000508, HP:0033353","HP:0000009, HP:0000140, HP:0000581, HP:0002490, HP:0007110, HP:0012695, HP:0100799, HP:3000039","HP:0000020, HP:0000080, HP:0000078, HP:0000598, HP:0000478, HP:0100799, HP:0025015, HP:0010936, HP:0030012, HP:0033353, HP:0000118, HP:0000119, HP:0000079, HP:0000009, HP:0012373, HP:0031703, HP:0000508, HP:0002597, HP:0000370, HP:0000014, HP:0001626, HP:0000140",37.5%,64.8794002532959
"HP:0002829, HP:0007340, HP:0000832, HP:0001369, HP:0034451, HP:3000003, HP:0002493, HP:0002119","HP:0000326, HP:0000370, HP:0002423, HP:0003040, HP:0007082, HP:0008716, HP:0011787, HP:0012403","HP:0002829, HP:0012639, HP:0000832, HP:0011442, HP:0025142, HP:0007340, HP:0002493, HP:0010936, HP:0012443, HP:0003011, HP:0000118, HP:0011804, HP:0002118, HP:0000820, HP:0000707, HP:0012531, HP:0000014, HP:0012638, HP:0033127, HP:0000818, HP:0001367, HP:0011842, HP:0002926, HP:0000271, HP:0002011, HP:0000163, HP:0000153, HP:0025487, HP:0031816, HP:0001324, HP:3000003, HP:0003690, HP:0004321, HP:0000924, HP:0000119, HP:0000079, HP:0000821, HP:0001369, HP:0000152, HP:0034451, HP:0000234, HP:0002119",0.0%,119.46206736564636
"HP:0000370, HP:0001762, HP:0010230, HP:0410030, HP:0032385, HP:0002656, HP:0010442","HP:0004184, HP:0004454, HP:0008081, HP:0009167, HP:0012301, HP:0012580, HP:0100335, HP:0100399","HP:0002813, HP:0001762, HP:0025465, HP:0000598, HP:0001155, HP:0040064, HP:0001883, HP:0001760, HP:0000118, HP:0031703, HP:0410030, HP:0000370, HP:0001167, HP:0033127, HP:0000159, HP:0011842, HP:0002814, HP:0000271, HP:0011844, HP:0000163, HP:0000153, HP:0001939, HP:0032180, HP:0002652, HP:0031816, HP:0011297, HP:0005918, HP:0010442, HP:0005920, HP:0000924, HP:0002817, HP:0032179, HP:0010230, HP:0000152, HP:0005656, HP:0010876, HP:0032385, HP:0002656, HP:0000234",0.0%,74.67570328712463
"HP:0002345, HP:0000505, HP:0009726, HP:0000126, HP:0002719, HP:0009804","HP:0000362, HP:0002080, HP:0002726, HP:0006735, HP:0007650, HP:0007758, HP:0011055, HP:0012572","HP:0000153, HP:0001337, HP:0011442, HP:0002719, HP:0031816, HP:0010978, HP:0000478, HP:0010946, HP:0000164, HP:0009804, HP:0010935, HP:0000504, HP:0012210, HP:0000077, HP:0006483, HP:0004305, HP:0010944, HP:0009726, HP:0000118, HP:0000119, HP:0002715, HP:0000079, HP:0012373, HP:0032101, HP:0000707, HP:0000152, HP:0002345, HP:0012638, HP:0000126, HP:0000234, HP:0000505, HP:0000271, HP:0000163",0.0%,67.80569005012512
"HP:0000510, HP:0000407, HP:0008773, HP:0001756, HP:0010743, HP:0002836","HP:0000555, HP:0001751, HP:0001757, HP:0002836, HP:0004439, HP:0008773, HP:0010157","HP:0001098, HP:0001756, HP:0001832, HP:0008773, HP:0008609, HP:0031704, HP:0025487, HP:0000598, HP:0011389, HP:0000478, HP:0000556, HP:0010743, HP:0040064, HP:0000479, HP:0001964, HP:0000365, HP:0012372, HP:0010936, HP:0001760, HP:0004329, HP:0000118, HP:0000119, HP:0000079, HP:0031703, HP:0000510, HP:0001751, HP:0000370, HP:0000014, HP:0002836, HP:0000364, HP:0002814, HP:0000407",42.86%,66.39056777954102
"HP:0004054, HP:0009796, HP:0000089, HP:0012332, HP:0005280, HP:0100792, HP:0001973","HP:0004281, HP:0004454, HP:0004467, HP:0005565, HP:0011120, HP:0011154, HP:0012143, HP:0100792","HP:0000422, HP:0011001, HP:0001872, HP:0000951, HP:0000077, HP:0002270, HP:0000118, HP:0005105, HP:0000707, HP:0001973, HP:0001871, HP:0033127, HP:0011842, HP:0004348, HP:0000271, HP:0008678, HP:0003330, HP:0009796, HP:0000089, HP:0025668, HP:0100792, HP:0001873, HP:0010935, HP:0000366, HP:0004054, HP:0012210, HP:0012332, HP:0001574, HP:0005280, HP:0011875, HP:0000924, HP:0000119, HP:0000079, HP:0410008, HP:0000152, HP:0011873, HP:0011124, HP:0000464, HP:0009794, HP:0000234, HP:0011121, HP:0011849",12.5%,94.97463035583496
"HP:0045075, HP:0000370, HP:0002225, HP:0012125, HP:0001857","HP:0001144, HP:0002223, HP:0002225, HP:0006846, HP:0010121, HP:0011475, HP:0100787","HP:0012125, HP:0002225, HP:0011362, HP:0008775, HP:0000078, HP:0012243, HP:0000598, HP:0000812, HP:0001991, HP:0045075, HP:0002814, HP:0040064, HP:0001780, HP:0005035, HP:0001574, HP:0011138, HP:0000534, HP:0001831, HP:0001760, HP:0001857, HP:0000118, HP:0000022, HP:0000119, HP:0008070, HP:0031703, HP:0000370, HP:0001595, HP:0100840, HP:0100787",28.57%,53.678987979888916
"HP:0034398, HP:0006695, HP:0000403, HP:0001877, HP:0002243","HP:0000100, HP:0000403, HP:0004369, HP:0005540, HP:0011576, HP:0100423, HP:0100809","HP:0034398, HP:0002244, HP:0008609, HP:0000403, HP:0012718, HP:0000598, HP:0040064, HP:0001780, HP:0006695, HP:0000388, HP:0001627, HP:0001760, HP:0002242, HP:0000118, HP:0030680, HP:0001671, HP:0001877, HP:0031703, HP:0002243, HP:0000370, HP:0001871, HP:0001626, HP:0002814, HP:0025031, HP:0011024",14.29%,66.99559545516968
"HP:0001156, HP:0008670, HP:0001007, HP:0000973, HP:0000403, HP:0001973","HP:0000145, HP:0000388, HP:0004859, HP:0005325, HP:0007392, HP:0009251, HP:0012069","HP:0002813, HP:0012243, HP:0008609, HP:0010647, HP:0000598, HP:0000812, HP:0000008, HP:0001872, HP:0000951, HP:0000388, HP:0011138, HP:0000118, HP:0008670, HP:0031703, HP:0000142, HP:0001007, HP:0000973, HP:0000370, HP:0001973, HP:0001871, HP:0033127, HP:0011842, HP:0011844, HP:0001153, HP:0000078, HP:0011362, HP:0000403, HP:0011297, HP:0001873, HP:0001574, HP:0000924, HP:0000119, HP:0001156, HP:0011873, HP:0011927, HP:0001595, HP:0011875, HP:0011121, HP:0008067",14.29%,64.96649503707886
"HP:0002937, HP:0030682, HP:0002656, HP:0011454, HP:0000097","HP:0000097, HP:0000429, HP:0001644, HP:0002937, HP:0005242, HP:0009206, HP:0011454, HP:0100509","HP:0000095, HP:0002652, HP:0030682, HP:0000925, HP:0008609, HP:0000598, HP:0003312, HP:0000097, HP:0004452, HP:0010935, HP:0012210, HP:0000077, HP:0001627, HP:0000924, HP:0009121, HP:0000118, HP:0002937, HP:0030680, HP:0031263, HP:0031192, HP:0000119, HP:0030681, HP:0031703, HP:0000079, HP:0011035, HP:0000096, HP:0000370, HP:0003468, HP:0011454, HP:0033127, HP:0002656, HP:0001637, HP:0011842, HP:0001626",37.5%,82.19965147972107
"HP:0000813, HP:0002857, HP:0007827, HP:6000920, HP:0000381, HP:0002150","HP:0000152, HP:0000813, HP:0001149, HP:0002150, HP:0002857, HP:0008628","HP:0000481, HP:0000925, HP:0003110, HP:0012243, HP:0008609, HP:0000598, HP:0000812, HP:0000008, HP:0000478, HP:0040064, HP:0002981, HP:0007827, HP:0012372, HP:0000118, HP:0000381, HP:0002979, HP:0004328, HP:0003319, HP:0031703, HP:0000370, HP:0011280, HP:0033127, HP:0000130, HP:0011842, HP:0002814, HP:0008628, HP:0031105, HP:0001939, HP:0000078, HP:0002150, HP:0007957, HP:0002857, HP:0012591, HP:0004452, HP:0000813, HP:0000924, HP:0007759, HP:0000119, HP:0009121, HP:0046508, HP:6000920, HP:0011494",66.67%,52.2313506603241
"HP:0002345, HP:0000505, HP:0009726, HP:0000126, HP:0002719, HP:0009804","HP:0000362, HP:0002080, HP:0002726, HP:0006735, HP:0007650, HP:0007758, HP:0011055, HP:0012572","HP:0000153, HP:0001337, HP:0011442, HP:0002719, HP:0031816, HP:0010978, HP:0000478, HP:0010946, HP:0000164, HP:0009804, HP:0010935, HP:0000504, HP:0012210, HP:0000077, HP:0006483, HP:0004305, HP:0010944, HP:0009726, HP:0000118, HP:0000119, HP:0002715, HP:0000079, HP:0012373, HP:0032101, HP:0000707, HP:0000152, HP:0002345, HP:0012638, HP:0000126, HP:0000234, HP:0000505, HP:0000271, HP:0000163",0.0%,67.94617056846619
"HP:0000510, HP:0000407, HP:0008773, HP:0001756, HP:0010743, HP:0002836","HP:0000555, HP:0001751, HP:0001757, HP:0002836, HP:0004439, HP:0008773, HP:0010157","HP:0001098, HP:0001756, HP:0001832, HP:0008773, HP:0008609, HP:0031704, HP:0025487, HP:0000598, HP:0011389, HP:0000478, HP:0000556, HP:0010743, HP:0040064, HP:0000479, HP:0001964, HP:0000365, HP:0012372, HP:0010936, HP:0001760, HP:0004329, HP:0000118, HP:0000119, HP:0000079, HP:0031703, HP:0000510, HP:0001751, HP:0000370, HP:0000014, HP:0002836, HP:0000364, HP:0002814, HP:0000407",42.86%,66.35880541801453
"HP:0003394, HP:0007269, HP:0000568, HP:0004467, HP:0003275, HP:0000381, HP:0007618, HP:0001324, HP:0001104, HP:0000377, HP:0000211, HP:0000381","HP:0000601, HP:0002356, HP:0002764, HP:0003275, HP:0005216, HP:0007943, HP:0008523, HP:0009067","HP:0008609, HP:0000929, HP:0008059, HP:0000598, HP:0001104, HP:0000478, HP:0000211, HP:0000383, HP:0000479, HP:0012372, HP:0007618, HP:0003011, HP:0010766, HP:0011821, HP:0000118, HP:0000381, HP:0011804, HP:0040163, HP:0031703, HP:0000370, HP:0033127, HP:0011842, HP:0004467, HP:0011844, HP:0000271, HP:0008628, HP:0003202, HP:0000277, HP:0001098, HP:0000309, HP:0008056, HP:0000568, HP:0001324, HP:0004452, HP:0100277, HP:0000924, HP:0004329, HP:0011805, HP:0003394, HP:0000356, HP:0030791, HP:0002644, HP:0000377, HP:0000152, HP:0003275, HP:0000234, HP:0001103, HP:0004426, HP:0007269",12.5%,107.44787669181824
"HP:0000520, HP:0000602, HP:0034389, HP:0004348, HP:0009703, HP:0000370","HP:0000549, HP:0002703, HP:0005164, HP:0006163, HP:0008609, HP:0009903, HP:0100455","HP:0034389, HP:0100886, HP:0003330, HP:0005922, HP:0002795, HP:0000520, HP:0000602, HP:0000478, HP:0002088, HP:0004930, HP:0001155, HP:0012252, HP:0009701, HP:0040064, HP:0000598, HP:0000597, HP:0012372, HP:0004278, HP:0000924, HP:0000118, HP:0012373, HP:0002817, HP:0002086, HP:0031703, HP:0009703, HP:0000370, HP:0011718, HP:0030968, HP:0033127, HP:0000496, HP:0011842, HP:0004348, HP:0011849",0.0%,76.06791877746582
"HP:0007663, HP:0000662, HP:0002321, HP:0034398, HP:0004054, HP:0007209, HP:0040090, HP:0004411, HP:0010655","HP:0000580, HP:0004122, HP:0007188, HP:0008773, HP:0010727, HP:0100211, HP:0100468","HP:0001291, HP:0004411, HP:0012639, HP:0034398, HP:0001293, HP:0031704, HP:0011001, HP:0000598, HP:0011389, HP:0000478, HP:0040064, HP:0001760, HP:0000118, HP:0011314, HP:0005105, HP:0012373, HP:0040090, HP:0031703, HP:0001751, HP:0000707, HP:0033127, HP:0011842, HP:0004348, HP:0002814, HP:0000271, HP:0011844, HP:0003330, HP:0005930, HP:0007663, HP:0001780, HP:0000366, HP:0000504, HP:0004054, HP:0002321, HP:0007209, HP:0000924, HP:0000662, HP:0000759, HP:0000356, HP:0000152, HP:0000419, HP:0010655, HP:0000234, HP:0000505, HP:0011849",0.0%,111.68058466911316
"HP:0007700, HP:0001009, HP:0000164, HP:0001641, HP:0009804, HP:0002864","HP:0002864, HP:0004328, HP:0005148, HP:0005562, HP:0006293, HP:0006338, HP:0009893, HP:0011176","HP:0000153, HP:0012639, HP:0100007, HP:0001009, HP:0031816, HP:0000164, HP:0000478, HP:0009804, HP:0006483, HP:0012372, HP:0001627, HP:0002864, HP:0000118, HP:0030680, HP:0004328, HP:0000759, HP:0001641, HP:0002597, HP:0000707, HP:0000152, HP:0100634, HP:0001654, HP:0001626, HP:0011276, HP:0000234, HP:0002668, HP:0000271, HP:0007700, HP:0000163",25.0%,85.6142647266388
"HP:0001251, HP:0000479, HP:0005731, HP:0000387, HP:0000155, HP:0005303, HP:0100559, HP:0003063, HP:0008609, HP:0000155","HP:0000155, HP:0003927, HP:0007182, HP:0007973, HP:0009906, HP:0012397","HP:0001679, HP:0011442, HP:0008609, HP:0011830, HP:0000598, HP:0000478, HP:0040064, HP:0000479, HP:0025015, HP:0012372, HP:0011004, HP:0000118, HP:0005731, HP:0031703, HP:0000707, HP:0005303, HP:0000370, HP:0012638, HP:0009906, HP:0033127, HP:0004962, HP:0001251, HP:0011842, HP:0001626, HP:0002814, HP:0000271, HP:0000163, HP:0000153, HP:0001098, HP:0000363, HP:0031446, HP:0011443, HP:0003330, HP:0031816, HP:0003063, HP:0003103, HP:0000387, HP:0004963, HP:0033353, HP:0004329, HP:0000924, HP:0000155, HP:0100559, HP:0000356, HP:0002597, HP:0000377, HP:0000152, HP:0000234",33.33%,131.65569233894348
"HP:0005945, HP:0000426, HP:0000546, HP:0001988, HP:0000608, HP:0002718, HP:0003259, HP:0009830","HP:0000426, HP:0001105, HP:0001988, HP:0005360, HP:0007249, HP:0007982, HP:0008750, HP:0012101","HP:0011014, HP:0000422, HP:0002719, HP:0002795, HP:0003259, HP:0000478, HP:0000546, HP:0012252, HP:0000479, HP:0001943, HP:0001988, HP:0012372, HP:0002718, HP:0004364, HP:0002715, HP:0000118, HP:0005105, HP:0002086, HP:0011015, HP:0000707, HP:0005945, HP:0012638, HP:0009830, HP:0000271, HP:0000608, HP:0001600, HP:0001098, HP:0001939, HP:0012337, HP:0032180, HP:0000426, HP:0010978, HP:0430071, HP:0000366, HP:0025423, HP:0004329, HP:0032101, HP:0000152, HP:0002087, HP:0002157, HP:0000234",25.0%,65.60837531089783
"HP:0001047, HP:0001156, HP:0001363, HP:0012122","HP:0004009, HP:0007573, HP:0007813, HP:0009590, HP:0010008, HP:0010245, HP:0011321","HP:0011122, HP:0002813, HP:0000964, HP:0000929, HP:0011297, HP:0000478, HP:0012122, HP:0001363, HP:0000951, HP:0001574, HP:0012372, HP:0000554, HP:0000924, HP:0000118, HP:0000553, HP:0001156, HP:0002683, HP:0000152, HP:0001047, HP:0033127, HP:0011927, HP:0011123, HP:0011842, HP:0000234, HP:0011844",0.0%,37.40399146080017
"HP:0000103, HP:0002791, HP:0031607, HP:3000003, HP:0000633","HP:0000633, HP:0005952, HP:0006722, HP:0010753, HP:0011779, HP:0011881, HP:0100515, HP:0100645","HP:0031607, HP:0000153, HP:0000633, HP:0031816, HP:0002795, HP:0000478, HP:0012211, HP:0000632, HP:0010935, HP:0012590, HP:0000103, HP:0011036, HP:3000003, HP:0000077, HP:0000118, HP:0000119, HP:0000079, HP:0012373, HP:0002086, HP:0000152, HP:0001438, HP:0002793, HP:0002791, HP:0000234, HP:0000271, HP:0025031, HP:0000163",12.5%,40.80392408370972
"HP:0001324, HP:0000750, HP:0000505, HP:0000407, HP:0006827, HP:0007703, HP:0002380, HP:0000518","HP:0002398, HP:0004464, HP:0005387, HP:0007089, HP:0007703, HP:0011144","HP:0012639, HP:0011442, HP:0007703, HP:0006827, HP:0031704, HP:0000598, HP:0000478, HP:0000479, HP:0012372, HP:0003011, HP:0025792, HP:0000118, HP:0011804, HP:0004328, HP:0012373, HP:0007344, HP:0000517, HP:0000707, HP:0012638, HP:0033127, HP:0002380, HP:0000364, HP:0002011, HP:0000407, HP:0001098, HP:4000072, HP:0011446, HP:0001324, HP:0000504, HP:0000365, HP:0004305, HP:0004329, HP:0034434, HP:0000518, HP:0000750, HP:0000505, HP:0002167, HP:0002143",16.67%,77.38401055335999
"HP:0100924, HP:0009772, HP:0006897, HP:0000662, HP:0002089, HP:0000073, HP:0025261, HP:0031750","HP:0000662, HP:0005304, HP:0008631, HP:0011348, HP:0100911, HP:0100935, HP:3000008","HP:0031755, HP:0011729, HP:0009772, HP:0004286, HP:0011001, HP:0002795, HP:0002089, HP:0025590, HP:0000478, HP:0002088, HP:0001376, HP:0010161, HP:0040064, HP:0006824, HP:0012252, HP:0001760, HP:0000118, HP:0012373, HP:0002086, HP:0025261, HP:0000707, HP:0011843, HP:0031740, HP:0012638, HP:0031749, HP:0033127, HP:0011842, HP:0004348, HP:0002814, HP:0000073, HP:0003330, HP:0004281, HP:4000059, HP:0001387, HP:0031750, HP:0000069, HP:0006703, HP:0010935, HP:0001780, HP:0006897, HP:0004054, HP:0000504, HP:0034430, HP:0000924, HP:0000119, HP:0000662, HP:0000079, HP:0031910, HP:0100924, HP:0025633, HP:0011849",14.29%,97.87695074081421
"HP:0007215, HP:0001528, HP:0030237, HP:0000175, HP:3000055, HP:0012804, HP:0000954","HP:0000174, HP:0001421, HP:0006216, HP:0007215, HP:0007812, HP:0010496, HP:3000055","HP:0001291, HP:0001528, HP:0030237, HP:0012639, HP:0011442, HP:0007477, HP:0012804, HP:0000481, HP:0007215, HP:0001155, HP:0000478, HP:0040064, HP:0000951, HP:0012372, HP:0001421, HP:3000055, HP:0000118, HP:0000175, HP:0004328, HP:0000174, HP:0000707, HP:0011495, HP:0012638, HP:0001018, HP:0010490, HP:0000271, HP:0000163, HP:0000153, HP:0031816, HP:0000954, HP:0001574, HP:0011356, HP:0003470, HP:0000759, HP:0002817, HP:0000152, HP:0003768, HP:0000234, HP:0011121",57.14%,59.969135999679565
"HP:0000010, HP:0100033, HP:0000670, HP:0001131, HP:0100518, HP:0100515, HP:0034267, HP:0000750","HP:0000010, HP:0007089, HP:0007705, HP:0010826, HP:0011078","HP:0001131, HP:0000708, HP:0000481, HP:0002719, HP:0000010, HP:0000478, HP:0011061, HP:0025142, HP:0000722, HP:0012372, HP:0010936, HP:0002715, HP:0000118, HP:0025792, HP:0004328, HP:0000707, HP:0012531, HP:0000014, HP:0012638, HP:5200241, HP:0000271, HP:0000163, HP:0000153, HP:0000670, HP:0034267, HP:0031816, HP:4000072, HP:0011446, HP:0010978, HP:0000164, HP:0100515, HP:0100033, HP:0000119, HP:0034434, HP:0000079, HP:0000009, HP:0100518, HP:0032101, HP:0000152, HP:0000750, HP:0000234, HP:0002167",20.0%,104.58383393287659
"HP:0007750, HP:0007700, HP:0011508, HP:0009830, HP:0009804","HP:0000217, HP:0007700, HP:0011044, HP:0011503, HP:0012152, HP:0012645","HP:0000153, HP:0001098, HP:0031816, HP:0000478, HP:0000164, HP:0011508, HP:0009804, HP:0000479, HP:0007750, HP:0006483, HP:0012372, HP:0008060, HP:0004329, HP:0000118, HP:0004328, HP:0000707, HP:0000152, HP:0000493, HP:0012638, HP:0009830, HP:0000234, HP:0001103, HP:0000271, HP:0007700, HP:0000163",16.67%,57.32201814651489
